cell_id,class,model,raw_circularity_ae,closing_circularity_ae,dual_null_circularity_ae,benefit_closing,benefit_null,specific_advantage,raw_nucleus_dice,closing_nucleus_dice,dual_null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,dual_null_foreground_dice,raw_nc_ae,closing_nc_ae,dual_null_nc_ae,raw_area_ae,closing_area_ae,dual_null_area_ae,raw_invalid,closing_invalid,dual_null_invalid,raw_pred_circularity,gt_circularity,roundness_group
153826963-153826970-001,severe_dysplastic,baseline,0.14710440386400514,0.18133992827623402,0.18178324389536737,-0.03423552441222888,-0.034678840031362235,0.0008116217083813382,0.8806560257724411,0.8829802775748722,0.8829802775748722,0.7211392453355185,0.7233966925660501,0.7233966925660501,0.7769589951467668,0.7508251294262598,0.7508251294262598,777.0,761.0,761.0,0.0,0.0,0.0,0.657382372112432,0.5102779682484269,over_circular
153826963-153826982-003,severe_dysplastic,baseline,0.01335034384096423,0.022038823000196994,0.023876713141329442,0.009611694512610736,0.009602168234162156,0.0018378901411324478,0.9289763779527559,0.9290830381739472,0.9292404565131838,0.7715391906215554,0.7719972500859963,0.7715207897645269,1.6501662134441513,1.643457719190184,1.643457719190184,685.0,681.0,681.0,0.0,0.0,0.0,0.7466022312757511,0.7599525751167153,under_circular
153827595-153827657-002,carcinoma_in_situ,baseline,0.08841057587411427,0.09357354923890959,0.0935735482861696,-0.0055292416689273205,-0.005901299010211636,5.538656200343439e-09,0.971894832275612,0.9716874292185731,0.9707814269535674,0.9123850561676791,0.9121018112709707,0.9111505540348306,0.03817519146594406,0.037149589362583946,0.037149589362583946,80.0,83.0,83.0,0.0,0.0,0.0,0.7664622607614763,0.678051684887362,over_circular
153828877-153828902-002,severe_dysplastic,baseline,0.024972657332049453,0.03226273342298691,0.03285750150715905,-0.011375294828998905,-0.012732955537304247,0.000594768084172137,0.9664464308848296,0.9667141561973838,0.9664551223934723,0.8252623368499112,0.8254709703273507,0.8252321518623826,0.3880526662005277,0.38925512503011506,0.38925512503011506,195.0,193.0,193.0,0.0,0.0,0.0,0.7177230046048497,0.6927503472728003,over_circular
153828952-153828970-001,severe_dysplastic,baseline,0.03952680736998904,0.018396267235817665,0.0183962648089665,0.02113054013417137,0.021130542561022536,-2.4268511644720547e-09,0.9392038909509791,0.9388590432335636,0.9386032233307752,0.7954362161916501,0.7943731730067142,0.7949965778562216,0.2833706048919624,0.28699018874565496,0.28699018874565496,273.0,268.0,268.0,0.0,0.0,0.0,0.7886111356467917,0.8281379430167808,under_circular
153828952-153829005-001,severe_dysplastic,baseline,0.06588386139640212,0.09993636450522969,0.10175140680151318,-0.0032695750559621484,-0.004898101256861964,0.0016285262008998158,0.9243353783231084,0.9254986782023552,0.9254986782023552,0.7052140467774483,0.7065221720470427,0.7065221720470427,0.06381978493885265,0.040082661102768036,0.040082661102768036,597.0,588.0,588.0,0.0,0.0,0.0,0.6297255848783965,0.6422119389482304,under_circular
153828952-153829005-002,severe_dysplastic,baseline,0.029440581290671286,0.02388513788456681,0.02388513956593996,0.007329395652459159,0.007329394966821279,6.856378798048013e-10,0.9296583405110537,0.9302725968436155,0.9302725968436155,0.8381323376763413,0.8388622327366435,0.8388622327366435,0.4638256447130169,0.4725739424552373,0.4725739424552373,404.0,399.0,399.0,0.0,0.0,0.0,0.7492616808059328,0.7787022620966041,under_circular
153829664-153829672-001,light_dysplastic,baseline,0.060270406027360224,0.06595074124448108,0.06418300997452409,-0.005680335217120858,-0.003912603947163862,-0.0017677312699569958,0.955543050084412,0.9536243492190629,0.9539447336804165,0.7793910977506828,0.7780502337190945,0.778244912275943,0.15582908679296723,0.15886691127651506,0.15886691127651506,209.0,255.0,255.0,0.0,0.0,0.0,0.6249669920171462,0.6852373980445065,under_circular
153829745-153829768-001,severe_dysplastic,baseline,0.46807736752089196,0.40441286783545144,0.41288547604483344,0.07194733989057966,0.07194733989057966,0.008472608209382004,0.1369727047146402,0.1434223541048467,0.1434223541048467,0.4420255241939959,0.4455020235801677,0.4455020235801677,0.4094589286829802,0.4082996186679473,0.4082996186679473,3478.0,3464.0,3464.0,0.0,0.0,0.0,0.3274641461769579,0.7955415136978499,under_circular
153829745-153829768-003,severe_dysplastic,baseline,0.043888791740677946,0.014832646429275176,0.014832647741556682,0.015946850279132563,0.015203252995699468,0.0002795834421387422,0.9193903782592728,0.9198862072129944,0.9198862072129944,0.6909603941055681,0.6917525834640261,0.6917525834640261,0.6382786081515828,0.6558213775031982,0.6558213775031982,878.0,873.0,873.0,0.0,0.0,0.0,0.7244935843752187,0.7683823761158967,under_circular
