cell_id,circ_change_diff
149182657-149182667-003,-0.006193473489362399
149182657-149182681-002,-0.023808820902867303
149182657-149182698-003,-0.026501596248791094
149185497-149185527-003,-0.0147201155236794
149185604-149185657-001,0.007446876511250901
149186957-149186968-001,-0.0083334530418282
149187049-149187100-002,0.0397779625548794
149314453-149314465-001,0.0020313677013606
149314453-149314507-001,-0.0140077411631066
149314453-149314507-002,-0.0082268669569754
149314453-149314507-003,-0.004927683550917999
149315671-149315740-001,-0.0095909319590482
149315671-149315740-003,-0.0343251175080394
149315671-149315740-004,-0.015810267799101142
149315775-149315790-001,-0.0063265019812325015
149316025-149316032-001,-0.006584654447712201
149316426-149316462-004,-0.022323389440352205
149316754-149316779-002,0.010927095084757699
149316754-149316795-002,-0.033394898404281795
149317002-149317010-002,-0.0029042270784924995
149317114-149317152-001,-0.0129095463098558
149317204-149317230-002,-0.0181526776885456
149357849-149357857-003,-0.0176049911732454
153314857-153314909-001,-0.017994794709891734
153315615-153315629-001,0.04753118105914848
153654325-153654351-001,-0.0225713955030323
153654325-153654351-003,-0.04300759816265751
153655016-153655039-005,-0.0015249412332076998
153655087-153655101-002,-0.0021212689336573996
153659229-153659243-001,-0.040663353736000996
153659229-153659256-003,0.0331590824740786
153697342-153697375-001,-0.0138790520036442
153697342-153697384-001,-0.015363318859435569
153698259-153698268-001,0.0985084488027769
153698259-153698268-002,0.0063327402015028005
153701139-153701158-001,-0.0183004042155247
153701139-153701158-004,0.01924271880842125
153701139-153701158-005,-0.0109191099510024
153827595-153827604-002,-0.0418492899172345
153827595-153827618-002,-0.0018674337474004002
153827595-153827657-002,0.04707457263452901
153828952-153828980-001,0.033665209251512104
153828952-153829000-001,0.025603614866723197
153828952-153829000-003,-0.019205009576295298
153830680-153830827-002,0.009233384134627001
153831352-153831372-003,-0.014473925239167598
153915432-153915441-002,-0.00016472483646479998
153915432-153915472-001,-0.0054914280155123
153915634-153915665-003,0.007862506555788101
153915634-153915665-006,-0.0065165741020747
153915634-153915665-007,-0.022642209340208802
153915726-153915736-001,-0.061980089081556604
153916001-153916020-001,0.018017226061428
153916001-153916020-003,-0.018831304353694
153916114-153916150-001,-0.0224779764356135
153916114-153916167-001,-0.043770100551499505
153916569-153916586-001,-0.16221712959546722
153956040-153956058-001,0.0209452232555944
153956040-153956058-002,-0.0016532301415604998
153956040-153956058-003,0.0080622565932929
153956040-153956058-005,-0.008543977327457701
153956040-153956058-006,0.006142299558689501
153956040-153956072-001,-0.0002543931488405999
153956040-153956072-003,-0.021410492620316197
153956279-153956296-001,-0.0167839526482476
153956444-153956458-002,-0.024184880265432092
153956444-153956458-004,0.0035828905908856998
153958154-153958194-001,0.016735835943691497
153958154-153958211-001,0.0256826988044687
153958547-153958572-008,-0.013834509563874397
153958547-153958590-002,-0.0097737991749628
157181481-157181497-002,-0.0059524569894123
157183828-157183877-001,0.0479733594617544
157185433-157185454-001,-0.0157083457054939
157185433-157185479-001,0.0497858519525807
157185433-157185479-002,0.007198707828963551
157185433-157185479-004,0.006343012757067201
157185433-157185479-007,-0.0091605709111464
157185433-157185508-005,-0.007190428679179851
157185527-157185540-003,0.001007437273731801
157185677-157185690-001,-0.0121130078312039
157185730-157185758-001,-0.034744797008922704
157185781-157185793-003,-0.012816386598869498
157185781-157185814-002,-0.1010583682474826
157222534-157222579-001,0.010519185149462401
157222647-157222687-001,0.009827979509624099
157223779-157224140-001,0.0006988671805487996
157224458-157224464-001,0.0035353654476206024
157227461-157227503-003,0.0033800808961526006
157266930-157266947-003,-0.007295109060651665
158986766-158986776-001,-0.0015851382115942003
158986813-158986820-001,0.027198975309350202
158986920-158986928-001,-0.0126468351420825
158986920-158986928-004,0.0111018030630615
204870858-204870872-001,-0.028670477342241502
209047526-209047626-001,0.0035331069931418997
209047526-209047762-001,-0.007428306648144246
209047881-209047928-001,0.003570270687567499
209048086-209048137-001,0.07852992228350329
