cell_id,cf_severity,shape_perturbation,shape_severity,cf_dice,shape_dice,absolute_dice_difference,cf_abs_circ_change,shape_abs_circ_change,circ_change_diff,cf_abs_nc_change,shape_abs_nc_change,cf_perimeter_change
149101894-149101909-002,medium,dilation,r1,0.9794661190965092,0.974,0.005466119096509181,3.79805809025413e-09,0.0325750478505553,-0.03257504405249721,0.0,0.5380670611439844,3.5762786865234375e-07
149101894-149101909-003,high,dilation,r1,0.969309462915601,0.962817040137897,0.00649242277770401,0.0248521671221819,0.0097617191139189,0.015090448008263,0.0,0.0380851493139628,2.8284279108047485
149101894-149101918-001,medium,dilation,r1,0.9742046431642304,0.9501633986928104,0.024041244471419976,0.0109288335635887,0.0522216240861925,-0.041292790522603796,0.0,0.0286143824002089,-0.9289321899414062
149101894-149101930-002,medium,dilation,r1,0.9796195652173914,0.9658792650918636,0.013740300125527738,0.0017558066161116,0.0299888332218636,-0.028233026605752,0.0,0.4557505597543927,0.2426406145095825
149102510-149102519-002,high,dilation,r1,0.9729486023444543,0.9618386816999132,0.011109920644541194,0.0141727984504107,0.0154764933989932,-0.0013036949485825,0.0,0.0841076972128845,2.2426406145095825
149105003-149105050-001,high,dilation,r1,0.9782608695652174,0.9655413678502712,0.01271950171494618,0.0059990685729096,0.0281929127532334,-0.022193844180323802,0.0,0.0376826947999398,1.0710676908493042
149105131-149105155-001,medium,dilation,r1,0.974293059125964,0.9644628099173552,0.009830249208608755,0.0155813859414725,0.0060462213258094,0.009535164615663099,0.0,0.1727782997873497,1.4142130613327026
149105289-149105300-001,high,dilation,r1,0.9658508821855436,0.9603716862530746,0.005479195932469039,0.0224102025592989,0.010234897958497,0.0121753046008019,0.0,0.0747998442557126,2.242640733718872
149143028-149143108-002,high,dilation,r1,0.9770114942528736,0.9673832468495182,0.009628247403355439,0.0108142169276049,0.0090294297798476,0.0017847871477573007,0.0,0.0834537761814131,1.4142136573791504
149143469-149143497-003,high,dilation,r1,0.9697122665320546,0.9727473606678124,0.0030350941357578654,0.0054876396963556,0.0041180457558207,0.0013695939405348996,0.0,0.1928332686364757,0.8284274339675903
149146635-149146651-001,high,dilation,r1,0.973753280839895,0.9631346113334738,0.010618669506421208,0.0049873151288022,0.0318078881122755,-0.0268205729834733,0.0,0.2847783635523446,-0.8284263610839844
149147060-149147075-001,high,dilation,r1,0.9638989169675092,0.9587539659648112,0.005144951002697962,0.0103423800462723,0.0141979193990439,-0.0038555393527716,0.0,0.1835148977823938,1.4142146110534668
149147848-149147864-002,high,dilation,r1,0.9768250289687138,0.968212415856395,0.008612613112318868,0.0210983306697386,0.0077490978386236,0.013349232831114999,0.0,0.0657939228958665,2.8284271955490112
149147949-149147960-002,high,dilation,r1,0.9629171817058096,0.9509256538348516,0.01199152787095803,0.0046853152455305,0.0322164708365279,-0.0275311555909974,0.0,0.0977761759102381,0.8284271955490112
149181904-149181927-001,high,dilation,r1,0.9739921976592978,0.9670928526514356,0.0068993450078621565,0.0130920308001892,0.0051779788157204,0.0079140519844688,0.0,0.1322708243382347,1.414214015007019
149181904-149181951-001,high,dilation,r1,0.9760095961615354,0.9673177335138272,0.00869186264770816,0.0071662595431795,0.0070619316418759,0.00010432790130359988,0.0,0.2269407572459252,0.8284269571304321
149182125-149182135-001,high,dilation,r1,0.9690721649484536,0.9613478691774032,0.007724295771050382,0.0088969279138388,0.0336414136176808,-0.024744485703841995,0.0,0.2400167084377609,-0.9289323091506958
149182125-149182135-002,high,dilation,r1,0.9797775530839232,0.9658203125,0.013957240583923225,0.0146161605724051,0.0294572964676347,-0.014841135895229599,0.0,0.2580339692477991,-2.5857863426208496
149182550-149182571-004,high,dilation,r1,0.9794871794871794,0.975,0.004487179487179471,0.0057559327990861,0.0036801097430725,0.0020758230560136005,0.0,0.0311299268268209,0.8284274339675903
149182657-149182667-001,high,dilation,r1,0.9748427672955976,0.970498474059003,0.004344293236594576,0.002797881831634,0.026805393841255,-0.024007512009621,0.0,0.1293793970704462,-0.3431458473205566
149182657-149182667-003,high,dilation,r1,0.9661781285231116,0.9607365285675602,0.005441599955551379,0.0211953183005444,0.0273887917899068,-0.006193473489362399,0.0,0.0800234013274716,3.0710673332214355
149182657-149182681-002,high,dilation,r1,0.9774943735933984,0.9726377234585918,0.004856650134806628,0.0097977117134501,0.0336065326163174,-0.023808820902867303,0.0,0.3295346755554369,-1.2720783948898315
149182657-149182698-003,high,dilation,r1,0.979473144030106,0.9672402382528128,0.01223290577729319,0.0389521709870849,0.065453767235876,-0.026501596248791094,0.0,0.057104998287817,-6.343145966529846
