metric,scope,mean,ci_lo,ci_hi,n_clusters,n_obs,source
noise_dice_change,seed_20260805,-0.0507024265926725,-0.0587628073052373,-0.0429884343735295,184,1084,phase_a_mechanism
noise_dice_change,model_baseline,-0.0281257758561621,-0.0350033676483652,-0.0215489180275761,184,1645,phase_a_mechanism
noise_dice_change,model_nc_aware_lambda_0p10,-0.0370031155983363,-0.0441517140816451,-0.0304764129387628,184,1624,phase_a_mechanism
noise_dice_change,severity_10,-0.0020815877495351,-0.0038024150391008,-0.0003948325017583,184,1097,phase_a_mechanism
noise_dice_change,severity_20,-0.0204564346178807,-0.0264655153591085,-0.0146568289469128,184,1095,phase_a_mechanism
noise_dice_change,severity_30,-0.0758371990225305,-0.0891542828845847,-0.0634773968838619,184,1077,phase_a_mechanism
dilation_circularity_change,,0.0296101797268399,0.026980097340339914,0.032447907173513715,422,844,controlled_perturbation
dilation_nc_change,,0.19760897183247617,0.16428101503302922,0.23237539695516377,422,844,controlled_perturbation
dilation_area_change_rel,,0.11329156154583997,0.1088186526991007,0.11803137575992333,422,844,controlled_perturbation
dilation_perim_change_rel,,0.031968281515453736,0.02885243898211893,0.03506461705733939,422,844,controlled_perturbation
erosion_circularity_change,,0.0027487491327160556,0.0004003049379915986,0.005054166796013762,422,844,controlled_perturbation
erosion_nc_change,,-0.1542394411079101,-0.1767186703241779,-0.13254191945593613,422,844,controlled_perturbation
erosion_area_change_rel,,-0.11272811232975594,-0.11683260237122044,-0.10886138460571923,422,844,controlled_perturbation
erosion_perim_change_rel,,-0.06087544667858061,-0.06322880418076904,-0.058612832576603546,422,844,controlled_perturbation
indentation_circularity_change,,-0.3124423375210651,-0.3181129088896804,-0.30649377393535054,422,844,controlled_perturbation
indentation_nc_change,,-0.07179164535373617,-0.08285143165749928,-0.06115769114474421,422,844,controlled_perturbation
indentation_area_change_rel,,-0.05880797442044322,-0.06103964967702785,-0.056704048093413756,422,844,controlled_perturbation
indentation_perim_change_rel,,0.31690295678186314,0.3120191466084051,0.32151274207952296,422,844,controlled_perturbation
jitter_circularity_change,,-0.30462151784631586,-0.31024062970105903,-0.2987902280197179,422,844,controlled_perturbation
jitter_nc_change,,0.041505005239747206,0.03571175784226766,0.047767881313001095,422,844,controlled_perturbation
jitter_area_change_rel,,0.022257862027847453,0.02110685286719941,0.02344214269293319,422,844,controlled_perturbation
jitter_perim_change_rel,,0.3332556506314662,0.32899969583499417,0.33739340244423754,422,844,controlled_perturbation
protrusion_circularity_change,,-0.14592217755458917,-0.14996155613656253,-0.1417905730268829,422,844,controlled_perturbation
protrusion_nc_change,,0.0501372470447304,0.04269194228860832,0.05793271519945395,422,844,controlled_perturbation
protrusion_area_change_rel,,0.030620584842355313,0.029352561844352604,0.03193788286630638,422,844,controlled_perturbation
protrusion_perim_change_rel,,0.14696760368799133,0.14321987280967763,0.1506513005905038,422,844,controlled_perturbation
