cell_id,benefit_area,benefit_perimeter,benefit_full,benefit_perimeter_minus_area
149100064-149100072-001,0.006583557677886653,0.1121636721722824,0.1199478904422322,0.10558011449439575
149101620-149101650-001,0.002619187171704729,-0.012120867540578506,-0.01485829827265317,-0.014740054712283235
149102442-149102451-001,0.000345780822951558,0.0037305804243198404,0.004078102881456491,0.0033847996013682824
149102510-149102519-001,-0.002912673996104398,-0.03365747153711174,-0.0367016961602431,-0.03074479754100734
149105003-149105050-001,-0.0008495731240472093,-0.008303360001130966,-0.009162462612555156,-0.007453786877083757
149105289-149105300-001,0.0,0.0,0.0,0.0
149105289-149105300-002,0.0009824180390137771,0.013094723742700543,0.014105524139815084,0.012112305703686765
149105289-149105311-001,0.0022793339167626603,0.011542625682588348,0.01301180805095492,0.010096964781896589
149105289-149105311-003,0.004308907086522651,0.03784766591501032,0.04303147051959655,0.03353875882848767
149105289-149105311-004,0.0011339040384794608,0.005860102458560168,0.0065687149059986405,0.005160224844200034
149140081-149140096-002,0.00459271396370553,0.05564169401360175,0.06073145536799951,0.05104898004989622
149140849-149140856-001,0.0031682730308316143,-0.038474444440041,-0.04243780891661564,-0.04204856569048443
149143028-149143108-002,0.0023776528618063564,0.022169776237015548,0.024618959889003644,0.019792123375209192
149143469-149143497-003,-0.003014752554320266,-0.023358234096894526,-0.02647540509946189,-0.02034348154257426
149146837-149146854-001,-0.0002845459864038169,-0.0036244632286341893,-0.0039097694630942925,-0.0033404529881772005
149181904-149181927-001,0.0017468063453355276,-0.013983986874545162,-0.016350111613263496,-0.01486987573558829
149181904-149181951-001,0.00029978683778220105,-0.004476020807655523,-0.0050397854528648756,-0.004775807645437724
149182125-149182135-002,-0.0003639402892416932,-0.003930316352937946,-0.004275799674775871,-0.0035865593779608185
149182657-149182667-001,-0.0027581571386013914,-0.027275678068818032,-0.03012336150305006,-0.02451752093021664
149182657-149182681-002,0.0006742944369977355,0.004917681400027907,0.005596725690277471,0.004243386963030171
149182657-149182698-003,-0.000894112302029404,-0.009536186320775353,-0.01044058947135229,-0.008642074018745949
149185604-149185616-001,0.001120699219631316,0.012009259344795908,0.013150484288987574,0.010888560125164592
149185604-149185645-003,0.0,0.0,0.0,0.0
149185604-149185657-001,-0.002723525037504837,-0.025394902319238022,-0.028080363860268243,-0.02279148332285308
149185698-149185709-002,-0.0027859817694150246,-0.03156270703087749,-0.03446440908271542,-0.028776725261462466
149185788-149185824-001,0.0016641877762816337,0.015578274824892602,0.017279716347267993,0.013914087048610968
149190861-149190868-001,0.007024773426901887,0.06800994843081054,0.06035362431225577,0.06146763327586158
149314453-149314465-001,0.0011044635359357402,0.010268424923629227,0.011382860280087725,0.009168052691923556
149314453-149314507-001,0.0,0.0,0.0,0.0
149314453-149314507-002,-0.0009382435042287751,-0.006300048439831785,-0.007246095472268399,-0.0053618049356030095
149314679-149314698-001,-0.0017950657897820577,-0.0168428829923416,-0.018684734568213623,-0.015047817202559544
149315229-149315310-001,0.0017779659639294287,-0.019414623293414923,-0.02125487028887363,-0.021192589257344352
149315671-149315731-001,-0.0010412959817485135,-0.010637358281703979,-0.011694538820368972,-0.009596062299955466
149315671-149315740-001,-0.0008320938937330657,-0.007041001025893445,-0.007882331038156276,-0.0062089071321603795
149316426-149316462-004,-0.002126965319372065,-0.015097085136624555,-0.017358716936107466,-0.012884897939117512
149316754-149316779-002,0.0023774950574158016,0.02747901248301421,0.02995920539808139,0.025101517425598407
149317002-149317010-002,-0.0023157287289170547,-0.01904220356801667,-0.02141090906111054,-0.016726474839099614
149317204-149317230-002,-0.0010597438358139755,-0.008936936542504603,-0.010009969503288807,-0.007877192706690628
