cell_id,delta_C_area,delta_C_perimeter,delta_C_full,interaction_C,identity_residual
149105289-149105300-002,0.0009824180390137771,0.013094723742700543,0.014105524139815084,2.8382358100764726e-05,0.0
149105289-149105311-001,0.0022793339167626603,0.011542625682588348,0.01301180805095492,2.352146767481411e-05,0.0
149105289-149105311-003,0.004308907086522651,0.03784766591501032,0.04303147051959655,0.0008748975180635776,0.0
149105289-149105311-004,0.001133904038479433,0.005860102458560168,0.0065687149059986405,2.971412652255645e-05,0.0
149140081-149140096-002,0.00459271396370553,0.05564169401360175,0.06073145536799951,0.0004956144095312753,0.0
149140849-149140856-001,0.0031682730308316143,0.05191910373584119,0.05535057332871862,0.0003732761778914573,0.0
149143028-149143108-002,0.0023776528618063564,0.022169776237015548,0.024618959889003644,7.153079018173969e-05,0.0
149143469-149143497-003,0.003014752554320266,0.023358234096894526,0.02647540509946189,0.00010241844824709911,0.0
149146837-149146854-001,0.0002845459864038169,0.0036244632286341893,0.0039097694630942925,1.29966725692654e-06,0.0
149181904-149181927-001,0.0017468063453355276,0.016583052638950435,0.0183381706499387,3.46294709512307e-05,0.0
149181904-149181951-001,0.0005601697805611705,0.005397687351692992,0.005945839158269073,3.594864648182039e-06,0.0
149182125-149182135-002,0.0003639402892416932,0.003930316352937946,0.004275799674775871,1.8808013535487333e-06,0.0
149182657-149182667-001,0.0027581571386013914,0.027275678068818032,0.03012336150305006,8.952629563063752e-05,0.0
149182657-149182681-002,0.0017067237456175333,0.015500693065725546,0.01724085550683485,3.343869549177203e-05,0.0
149182657-149182698-003,0.000894112302029404,0.009536186320775353,0.01044058947135229,1.0290848547533926e-05,0.0
149185604-149185616-001,0.001120699219631316,0.012009259344795908,0.013150484288987574,2.0525724560349623e-05,0.0
149185604-149185645-003,0.0009376349632974623,0.012089194953037397,0.013040394653222598,1.356473688773896e-05,0.0
149185604-149185657-001,0.002723525037504837,0.025394902319238022,0.028080363860268243,8.78320485730999e-05,0.0
149185698-149185709-002,0.0027859817694150246,0.03156270703087749,0.03446440908271542,0.00011572028242290422,0.0
149185788-149185824-001,0.0016641877762816337,0.015578274824892602,0.017279716347267993,3.72537460937572e-05,0.0
149190861-149190868-001,0.007024773426901887,0.1180988837702488,0.12662408637253109,0.0013027948376258536,0.0
149314453-149314465-001,0.0011044635359357402,0.010268424923629227,0.011382860280087725,1.414187829296143e-05,0.0
149314453-149314507-001,0.0,0.0,0.0,0.0,0.0
149314453-149314507-002,0.0009382435042287751,0.006300048439831785,0.007246095472268399,7.80352820783925e-06,0.0
149314679-149314698-001,0.0017950657897820577,0.0168428829923416,0.018684734568213623,4.678578608996453e-05,0.0
149315229-149315310-001,0.0017779659639294287,0.025139109301805407,0.026857447875823115,5.624427835160262e-05,0.0
149315671-149315731-001,0.001901160146238201,0.019055464497559682,0.021007647843987676,5.102320018979256e-05,0.0
149315671-149315740-001,0.0008320938937330657,0.007041001025893445,0.007882331038156276,9.236118529765136e-06,0.0
149316426-149316462-004,0.002126965319372065,0.015097085136624555,0.017358716936107466,4.659997135092464e-05,0.0
149316754-149316779-002,0.0023774950574158016,0.02747901248301421,0.02995920539808139,0.00010269785765137929,0.0
149317002-149317010-002,0.0032640912989201354,0.024771371492602556,0.028150964989965055,0.0001155021984423632,0.0
149317204-149317230-002,0.0010597438358139755,0.008936936542504603,0.010009969503288807,1.3289124970228272e-05,0.0
149788987-149788996-003,0.004677412774806822,0.07122145400491753,0.076316031186351,0.0005120458225292834,0.0
153268807-153268826-001,0.007593011152717155,0.11098835443749688,0.11957734913252671,0.001251022104358901,0.0
153276386-153276405-001,0.0006426190725962178,0.007801608416495021,0.008450489649693083,6.262160601844258e-06,0.0
153276386-153276405-002,0.0027158440531280803,0.02824528851132191,0.03136776957287701,0.0001312424934939438,0.0
153276386-153276414-001,0.000602182613964497,0.007688648279249866,0.008296510062200557,5.679168986194583e-06,0.0
153314466-153314473-003,0.010991118893517005,0.12497264371260597,0.1378510425927566,0.0018872799866336276,0.0
153654869-153654880-001,0.004280281414592801,0.033614539397628485,0.03816781382303036,0.000272993010809075,0.0
153655016-153655039-005,0.0014966451116559254,0.010903389229463656,0.0124223773518356,2.2343010716019407e-05,0.0
153655087-153655101-002,0.002870609494291909,0.02129566546569417,0.024031043502066307,9.51032926932438e-05,0.0
153656862-153656873-001,0.004876154267310584,0.0610499244478816,0.06633183081442895,0.0004025269743815896,0.0
153657121-153657160-001,0.0009410319113248855,0.011417177862871775,0.012371848560307153,1.3638783304847912e-05,0.0
153659229-153659264-001,0.000662472047221141,0.007677368832123221,0.008346396196406092,6.555317061729404e-06,0.0
153697342-153697375-001,0.0014628857671760143,0.01415077927465136,0.01567122325659054,2.6506249793945003e-05,0.0
153697342-153697384-001,0.0005206837986244661,0.0049714241435662165,0.005481331771350129,3.220988636920552e-06,0.0
153697726-153697736-001,0.0062977459064752495,0.10882171932615647,0.1161444036210435,0.001024938388411778,0.0
153701009-153701019-002,0.002039546234966938,0.02750453373072148,0.029636843991761697,9.27640260732776e-05,0.0
153701622-153701650-001,0.000874093549964261,0.010432506548573306,0.011318805032755397,1.2204934217829866e-05,0.0
153701949-153701958-001,0.0033571529237746978,0.05408294297703742,0.05771234723181917,0.00027225133100705623,0.0
153702037-153702051-003,0.0022891507640249165,0.02727476962396924,0.02967432163504513,0.00011040124705097298,0.0
153826963-153826970-001,0.0034799206858819876,0.03269394930429731,0.037021678594783725,0.0001723334107506247,0.0
153826963-153826982-003,0.0009163144355844866,0.011786617603789629,0.012586199810453058,1.7982986231679376e-05,0.0
153827595-153827657-002,0.0005545391922662235,0.004971161763154597,0.0055292416689273205,3.5407135065002038e-06,0.0
153828877-153828902-002,0.0009186330821636668,0.01044350871319144,0.011375294828998905,1.315303364379794e-05,0.0
153828952-153828970-001,0.0016149033494472498,0.019475754693202174,0.02113054013417137,3.988209152194777e-05,0.0
153828952-153829005-001,0.002010564591869324,0.02614823348951978,0.028242283195629936,8.348511424083327e-05,0.0
153828952-153829005-002,0.0006397412998148111,0.0066834343114052785,0.007329395652459159,6.220041239068941e-06,0.0
153829664-153829672-001,0.007740860730300003,0.1170307401301579,0.1262211472718413,0.0014495464113833956,0.0
153829745-153829768-001,0.024356837318947222,0.06471335248423371,0.07194733989057966,0.0027212997022956764,0.0
153829745-153829768-003,0.002019073175436037,0.02815571642014547,0.030250289083449622,7.549948786811367e-05,0.0
153830680-153830827-002,0.0016120573904154778,0.01725970088480011,0.01890726597461856,3.550769940297016e-05,0.0
153831352-153831372-004,0.0024721618464284,0.022225137085531144,0.02418414500277244,9.690284805224936e-05,0.0
153915432-153915441-002,0.001119474124066988,0.012283700862062652,0.013420889023584959,1.7714037455318632e-05,0.0
153915432-153915472-001,0.0030658203584006394,0.03934473982186115,0.04317551362629757,0.00021540105338629933,0.0
153915726-153915736-001,0.003430147850298604,0.035757095778468084,0.039407212092202215,0.000219968463435527,0.0
153916114-153916129-002,0.00443906685740697,0.045816688014614915,0.0502657381226409,0.0005146121321177866,0.0
153916114-153916150-001,0.0023106520104846373,0.022097517659006694,0.024483373926980856,7.520425748952508e-05,0.0
153916114-153916167-001,0.0011253325429010363,0.011623370604152972,0.012786336863893077,1.7853824016644815e-05,0.0
153916569-153916586-001,0.0039686509656455815,0.031709643109991914,0.03588870458533755,0.00021041050970005415,0.0
153956040-153956058-001,0.004797234709212339,0.043618588747495024,0.048679845179264714,0.00026402172255735046,0.0
153956040-153956058-003,0.0005246908343223833,0.004872243316645486,0.005400192450109587,3.25829914171738e-06,0.0
153956040-153956072-003,0.005365931283722203,0.034613109292090494,0.04027107564818477,0.0002920350723720766,0.0
153956444-153956458-004,0.004241298283160333,0.03610434724990963,0.040534289437423654,0.00018864390435369138,0.0
153958154-153958211-001,0.0019673544494471784,0.013422764797438202,0.01543154753329723,4.14282864118487e-05,0.0
153958547-153958572-002,0.002017094535846753,0.011848917772229406,0.013901033739915247,3.502143183908846e-05,0.0
153958547-153958572-006,0.0009210902566624268,0.006461681604314928,0.007390361933339529,7.590072362173572e-06,0.0
153958547-153958572-008,0.0008704724762395033,0.004775746479312004,0.005653190848222023,6.971892670515345e-06,0.0
153958547-153958572-009,0.001982962027634927,0.013072750645189535,0.01508984518103651,3.413250821204805e-05,0.0
153958547-153958590-002,0.007172744572167322,0.007826094502512718,0.013580138807777947,0.00041034913363538483,0.0
154519964-154519981-001,0.004106155270853451,0.05191493643497258,0.05601384122222364,0.0003712554037378357,0.0
157181481-157181497-004,0.0031227361265857567,0.021240397185663396,0.02444632024639659,8.318693414743894e-05,0.0
157181671-157181697-001,0.014691112569712006,0.06789956049344448,0.08362294857310637,0.0016927868267064827,0.0
157183193-157183279-001,0.019569968056784792,0.08920321205636805,0.11133649080442787,0.0025633106912750225,0.0
157183828-157183877-001,0.01282942059661829,0.09368812342058608,0.10830108052129161,0.0017835365040872464,0.0
157183964-157183980-001,0.024054843725663466,0.10765943980151682,0.13562127932642887,0.003906995947492886,0.0
157184013-157184031-001,0.019569968056784792,0.09159563536822468,0.11372891411628439,0.0025633106912749115,0.0
