cell_id,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,closing_benefit_circularity_ae,null_benefit_circularity_ae
153956444-153956458-004,-0.027927206535971583,0.0010940627801714342,-0.029021269316143017,0.027927206535971583,-0.0010940627801714342
153958154-153958211-001,-0.01543154753329723,-0.0010513113925378903,-0.01438023614075934,0.01543154753329723,0.0010513113925378903
153958547-153958572-002,0.007078629152838634,0.003030082990640226,0.004048546162198408,-0.007078629152838634,-0.003030082990640226
153958547-153958572-006,-0.0013186977474215489,-0.0005097135315791368,-0.0008089842158424121,0.0013186977474215489,0.0005097135315791368
153958547-153958572-008,0.0051481900555175875,0.003119213031690049,0.0020289770238275384,-0.0051481900555175875,-0.003119213031690049
153958547-153958572-009,-0.01508984518103651,-0.009038564254014836,-0.006051280927021674,0.01508984518103651,0.009038564254014836
153958547-153958590-002,-0.013552645578407962,0.0,-0.013552645578407962,0.013552645578407962,0.0
154519964-154519981-001,0.05587050246702907,0.0018279085468619893,0.05404259392016708,-0.05587050246702907,-0.0018279085468619893
157181481-157181497-004,0.03699595307232806,-0.0006221322445637556,0.037618085316891814,-0.03699595307232806,0.0006221322445637556
157181671-157181697-001,-0.0877175155862433,-0.004804354905181607,-0.08291316068106169,0.0877175155862433,0.004804354905181607
157183193-157183279-001,-0.10200759498754586,0.016454015892252927,-0.11846161087979878,0.10200759498754586,-0.016454015892252927
157183828-157183877-001,-0.11158133620257427,-0.0018641524048582658,-0.109717183797716,0.11158133620257427,0.0018641524048582658
157183964-157183980-001,-0.13345073025545984,-0.024504109428131082,-0.10894662082732876,0.13345073025545984,0.024504109428131082
157184013-157184031-001,-0.14166213780809467,-0.01013259537910749,-0.13152954242898718,0.14166213780809467,0.01013259537910749
157184850-157184920-002,0.02420358589708571,0.03529047347958458,-0.011086887582498872,-0.02420358589708571,-0.03529047347958458
157184850-157184942-001,-0.05266766397240785,0.03227534634097293,-0.08494301031338078,0.05266766397240785,-0.03227534634097293
157185208-157185238-001,-0.07084185650339292,0.0065735243992539605,-0.07741538090264688,0.07084185650339292,-0.0065735243992539605
157185433-157185479-002,0.025962167886187104,-0.006716420866131778,0.03267858875231888,-0.025962167886187104,0.006716420866131778
157185433-157185479-003,0.009592875152203861,0.0029708751902501884,0.006621999961953673,-0.009592875152203861,-0.0029708751902501884
157185433-157185479-004,0.0,0.0,0.0,0.0,0.0
157185433-157185479-006,0.0,0.0,0.0,0.0,0.0
157185433-157185508-001,0.022983676306981504,0.008329068155495167,0.014654608151486337,-0.022983676306981504,-0.008329068155495167
157185730-157185758-001,0.008094390914436922,0.011378187031035158,-0.0032837961165982366,-0.008094390914436922,-0.011378187031035158
157185781-157185793-003,0.0,0.0,0.0,0.0,0.0
157222534-157222607-001,-0.10428719446267665,-0.011242943514962467,-0.09304425094771418,0.10428719446267665,0.011242943514962467
157222647-157222687-001,-0.10769702694389138,-0.019967962427960617,-0.08772906451593077,0.10769702694389138,0.019967962427960617
157222801-157222811-001,-0.03322194971323833,-0.038264730581951345,0.005042780868713015,0.03322194971323833,0.038264730581951345
157223549-157223570-001,-0.10830243079131852,-0.03893026613351058,-0.06937216465780793,0.10830243079131852,0.03893026613351058
157224412-157224429-001,-0.0652210274972782,-0.0037440099783540015,-0.061477017518924204,0.0652210274972782,0.0037440099783540015
157224458-157224464-001,-0.09126663577887295,-0.008455456539566697,-0.08281117923930625,0.09126663577887295,0.008455456539566697
157224458-157224483-001,-0.09203268668928222,-0.013120458427612891,-0.07891222826166933,0.09203268668928222,0.013120458427612891
157227058-157227087-001,-0.003648659561350742,-0.0028138398931811803,-0.0008348196681695619,0.003648659561350742,0.0028138398931811803
157227461-157227503-003,0.01624778458786902,-0.003061075103712785,0.019308859691581803,-0.01624778458786902,0.003061075103712785
157266930-157266947-001,0.06810199525389604,-0.012535607508975422,0.08063760276287146,-0.06810199525389604,0.012535607508975422
157268504-157268544-001,-0.07965461858963196,0.013878550365115538,-0.0935331689547475,0.07965461858963196,-0.013878550365115538
158986766-158986776-001,-0.013242857634080174,0.00467802892476199,-0.017920886558842164,0.013242857634080174,-0.00467802892476199
158986813-158986820-001,0.0,0.0,0.0,0.0,0.0
158986920-158986928-004,0.018258486393048834,-0.06647629751343748,0.08473478390648631,-0.018258486393048834,0.06647629751343748
204870858-204870872-001,0.013745090006352934,0.0031666694128226203,0.010578420593530313,-0.013745090006352934,-0.0031666694128226203
204870951-204870961-002,-0.08117441152003785,-0.009067807450913179,-0.07210660406912467,0.08117441152003785,0.009067807450913179
204871030-204871038-001,-0.07193595028443833,-0.006584979775708599,-0.06535097050872973,0.07193595028443833,0.006584979775708599
204871030-204871038-002,-0.13374885334645958,-0.000778296124651412,-0.13297055722180817,0.13374885334645958,0.000778296124651412
209047342-209047443-001,-0.02465285895922331,-0.015940133768835074,-0.008712725190388237,0.02465285895922331,0.015940133768835074
