cell_id,raw_circularity_signed_bias,closing_benefit_circularity_ae,spearman_rho_all_cells
153831352-153831372-004,-0.18826109462712676,0.02418414500277244,-0.7878561383907071
153915432-153915441-002,-0.15576020840485938,0.016580551230961804,-0.7878561383907071
153915432-153915472-001,-0.1814741419532505,0.04398991766986671,-0.7878561383907071
153915726-153915736-001,-0.10481114442966744,0.018447237430712526,-0.7878561383907071
153916114-153916129-002,-0.3440803613746097,0.04806038645795874,-0.7878561383907071
153916114-153916150-001,0.07793635448432734,-0.024874415951824158,-0.7878561383907071
153916114-153916167-001,0.3542210651495126,-0.012786336863893077,-0.7878561383907071
153916569-153916586-001,0.17226352984266602,-0.03670837015860817,-0.7878561383907071
153956040-153956058-001,-0.04963274116156813,0.04454152039134884,-0.7878561383907071
153956040-153956058-003,-0.010745571201065895,0.005400192450109587,-0.7878561383907071
153956040-153956072-003,0.05114947543048698,-0.034401810102137276,-0.7878561383907071
153956444-153956458-004,-0.04142756272421089,0.027927206535971583,-0.7878561383907071
153958154-153958211-001,-0.1685904733781054,0.01543154753329723,-0.7878561383907071
153958547-153958572-002,0.06362467232193825,-0.007078629152838634,-0.7878561383907071
153958547-153958572-006,-0.01909197268920404,0.0013186977474215489,-0.7878561383907071
153958547-153958572-008,0.17662878953034228,-0.0051481900555175875,-0.7878561383907071
153958547-153958572-009,-0.03140909761031607,0.01508984518103651,-0.7878561383907071
153958547-153958590-002,-0.6617095507315068,0.013552645578407962,-0.7878561383907071
154519964-154519981-001,0.03864198355180393,-0.05587050246702907,-0.7878561383907071
157181481-157181497-004,0.1825333769268609,-0.03699595307232806,-0.7878561383907071
157181671-157181697-001,-0.23075251870908675,0.0877175155862433,-0.7878561383907071
157183193-157183279-001,-0.20085241153584454,0.10200759498754586,-0.7878561383907071
157183828-157183877-001,-0.16782442857931845,0.11158133620257427,-0.7878561383907071
157183964-157183980-001,-0.19666950564129504,0.13345073025545984,-0.7878561383907071
157184013-157184031-001,-0.14627878480784273,0.14166213780809467,-0.7878561383907071
157184850-157184920-002,0.28348178662482953,-0.02420358589708571,-0.7878561383907071
157184850-157184942-001,-0.10370837901113639,0.05266766397240785,-0.7878561383907071
157185208-157185238-001,-0.24516771606922938,0.07084185650339292,-0.7878561383907071
157185433-157185479-002,0.03369931247020175,-0.025962167886187104,-0.7878561383907071
157185433-157185479-003,0.040458610797611594,-0.009592875152203861,-0.7878561383907071
157185433-157185479-004,0.052640265983357026,0.0,-0.7878561383907071
157185433-157185479-006,0.06988080657610807,0.0,-0.7878561383907071
157185433-157185508-001,0.21702732268987623,-0.022983676306981504,-0.7878561383907071
157185730-157185758-001,0.13194253514685783,-0.008094390914436922,-0.7878561383907071
157185781-157185793-003,0.03666419313083835,0.0,-0.7878561383907071
157222534-157222607-001,-0.18294893788041622,0.10428719446267665,-0.7878561383907071
157222647-157222687-001,-0.14629531570001686,0.10769702694389138,-0.7878561383907071
157222801-157222811-001,-0.09682488367893072,0.03322194971323833,-0.7878561383907071
157223549-157223570-001,-0.12007872215371262,0.10830243079131852,-0.7878561383907071
157224412-157224429-001,-0.22218112712691973,0.0652210274972782,-0.7878561383907071
157224458-157224464-001,-0.2274615015388235,0.09126663577887295,-0.7878561383907071
157224458-157224483-001,-0.2068431279726589,0.09203268668928222,-0.7878561383907071
157227058-157227087-001,-0.18246213218353308,0.003648659561350742,-0.7878561383907071
157227461-157227503-003,0.09175423056348608,-0.01624778458786902,-0.7878561383907071
157266930-157266947-001,0.15014047087155058,-0.06810199525389604,-0.7878561383907071
157268504-157268544-001,-0.11080394433817242,0.07965461858963196,-0.7878561383907071
158986766-158986776-001,-0.016420566259031766,0.013242857634080174,-0.7878561383907071
158986813-158986820-001,-0.007038036073132803,0.0,-0.7878561383907071
158986920-158986928-004,-0.270859133380434,-0.018258486393048834,-0.7878561383907071
204870858-204870872-001,0.12734682607633885,-0.013745090006352934,-0.7878561383907071
204870951-204870961-002,-0.12570224798443524,0.08117441152003785,-0.7878561383907071
204871030-204871038-001,-0.10284416358348425,0.07193595028443833,-0.7878561383907071
204871030-204871038-002,-0.17108751532893796,0.13374885334645958,-0.7878561383907071
209047342-209047443-001,-0.212057179930483,0.02465285895922331,-0.7878561383907071
209047526-209047626-001,-0.139918697428285,0.1013696021760514,-0.7878561383907071
209047526-209047798-001,-0.20556346988460794,0.07168420884027071,-0.7878561383907071
209307421-209307504-001,-0.14839009828914684,0.11895976225566463,-0.7878561383907071
209522474-209522522-001,-0.14142611001031768,0.0711002651292284,-0.7878561383907071
209522940-209522970-001,-0.15252790003487193,0.12712899989825277,-0.7878561383907071
209565409-209565503-001,-0.18277093575979564,0.11505385719373518,-0.7878561383907071
209565409-209565600-001,-0.16918275499354885,0.05984358999532402,-0.7878561383907071
209565864-209565890-001,-0.1833405593981423,0.16386872553815646,-0.7878561383907071
209565864-209565911-001,-0.1844189704770015,0.11505385719373518,-0.7878561383907071
209566047-209566095-001,-0.16521675262383573,0.13590998432441403,-0.7878561383907071
209566205-209566247-001,-0.1907115237668825,0.13398853842122949,-0.7878561383907071
209566205-209566289-001,-0.1976853473127922,0.05902727016248355,-0.7878561383907071
209566399-209566485-001,-0.17599533129074518,0.09746292011266955,-0.7878561383907071
