cell_id,class,model,seed,raw_perimeter,closing_perimeter,null_perimeter,delta_perimeter_closing,delta_perimeter_null,delta_area_closing,delta_area_null,abs_delta_area_closing_minus_null,closing_fallback_to_raw,null_target_reduction,null_achieved_reduction,null_matching_error_abs,null_matching_error_pct,null_raw_fallback,null_within_tolerance
153826963-153826970-001,severe_dysplastic,nc_aware_lambda_0p10,20260803,238.55129659175873,253.6639941930771,231.27921891212463,15.11269760131836,-7.272077679634094,21,-148,169,False,15.11269760131836,7.272077679634094,7.840619921684265,0.518810084640368,False,False
153826963-153826982-003,severe_dysplastic,nc_aware_lambda_0p10,20260803,314.83556747436523,313.66399455070496,313.6639941930771,-1.1715729236602783,-1.171573281288147,2,-52,54,False,1.1715729236602783,1.171573281288147,3.5762786865234375e-07,3.052544672465009e-07,False,True
153827595-153827657-002,carcinoma_in_situ,nc_aware_lambda_0p10,20260803,233.4802280664444,230.3086552619934,230.551295876503,-3.1715728044509888,-2.9289321899414062,4,-61,65,False,3.1715728044509888,2.9289321899414062,0.24264061450958252,0.07650482251867603,False,True
153828877-153828902-002,severe_dysplastic,nc_aware_lambda_0p10,20260803,253.4213547706604,252.24978244304657,252.59292602539062,-1.1715723276138306,-0.8284287452697754,2,-39,41,False,1.1715723276138306,0.8284287452697754,0.3431435823440552,0.2928915050792843,False,False
153828952-153828970-001,severe_dysplastic,nc_aware_lambda_0p10,20260803,242.79393672943115,241.03657698631287,241.0365778207779,-1.7573597431182861,-1.7573589086532593,3,-66,69,False,1.7573597431182861,1.7573589086532593,8.344650268554688e-07,4.7484018575205394e-07,False,True
153828952-153829005-001,severe_dysplastic,nc_aware_lambda_0p10,20260803,265.4213527441025,264.83556616306305,264.59292566776276,-0.5857865810394287,-0.8284270763397217,1,-1,2,False,0.5857865810394287,0.8284270763397217,0.24264049530029297,0.41421313350972966,False,False
153828952-153829005-002,severe_dysplastic,nc_aware_lambda_0p10,20260803,227.09545242786407,225.9238793849945,225.9238793849945,-1.1715730428695679,-1.1715730428695679,2,-3,5,False,1.1715730428695679,1.1715730428695679,0.0,0.0,False,True
153829664-153829672-001,light_dysplastic,nc_aware_lambda_0p10,20260803,329.63960921764374,303.2792181968689,323.362478017807,-26.36039102077484,-6.277131199836731,53,-183,236,False,26.36039102077484,6.277131199836731,20.08325982093811,0.7618726067117262,False,False
153829745-153829768-001,severe_dysplastic,nc_aware_lambda_0p10,20260803,nan,nan,nan,nan,nan,0,0,0,True,0.0,0.0,0.0,0.0,False,True
153829745-153829768-003,severe_dysplastic,nc_aware_lambda_0p10,20260803,285.2792184352875,281.7644993066788,282.3502848148346,-3.5147191286087036,-2.928933620452881,6,-77,83,False,3.5147191286087036,2.928933620452881,0.5857855081558228,0.16666637837081028,False,False
153830680-153830827-002,severe_dysplastic,nc_aware_lambda_0p10,20260803,214.7523066997528,212.99494695663452,213.3380926847458,-1.7573597431182861,-1.414214015007019,3,-24,27,False,1.7573597431182861,1.414214015007019,0.3431457281112671,0.19526208532715336,False,False
153831352-153831372-004,severe_dysplastic,nc_aware_lambda_0p10,20260803,370.6345566511154,358.1909054517746,365.9898945093155,-12.44365119934082,-4.644662141799927,26,-216,242,False,12.44365119934082,4.644662141799927,7.7989890575408936,0.6267444283518676,False,False
153915432-153915441-002,severe_dysplastic,nc_aware_lambda_0p10,20260803,278.2497806549072,277.07820761203766,277.0782070159912,-1.1715730428695679,-1.1715736389160156,4,-65,69,False,1.1715730428695679,1.1715736389160156,5.960464477539062e-07,5.087573936440125e-07,False,True
153915432-153915472-001,severe_dysplastic,nc_aware_lambda_0p10,20260803,264.30865585803986,254.6934312582016,258.9777020215988,-9.615224599838257,-5.33095383644104,19,-249,268,False,9.615224599838257,5.33095383644104,4.284270763397217,0.44557157442471856,False,False
153915726-153915736-001,severe_dysplastic,nc_aware_lambda_0p10,20260803,230.20815086364746,227.86500489711761,228.69343161582947,-2.343145966529846,-1.5147192478179932,7,-72,79,False,2.343145966529846,1.5147192478179932,0.828426718711853,0.3535531847120634,False,False
153916114-153916129-002,severe_dysplastic,nc_aware_lambda_0p10,20260803,377.13708305358887,352.8771963119507,346.5929265022278,-24.259886741638184,-30.544156551361084,39,-41,80,False,24.259886741638184,30.544156551361084,6.2842698097229,0.25903953619606,False,False
