cell_id,class,model,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,delta_closing_perimeter_ae,delta_null_perimeter_ae,delta_specific_perimeter_ae,delta_closing_nc_ae,delta_null_nc_ae,delta_specific_nc_ae,delta_closing_area_ae,delta_null_area_ae,delta_specific_area_ae,delta_closing_nucleus_dice,delta_null_nucleus_dice,delta_specific_nucleus_dice,delta_closing_foreground_dice,delta_null_foreground_dice,delta_specific_foreground_dice,closing_benefit_circularity_ae,null_benefit_circularity_ae,raw_circularity_signed_bias,roundness_group,raw_invalid_rate,closing_invalid_rate,null_invalid_rate
148848523-148848559-002,moderate_dysplastic,baseline,0.007826306221204504,-0.0010977246024453935,0.008924030823649898,0.5857867002487183,0.5857867002487183,0.0,-0.0004935018108429556,0.027274222753350452,-0.027767724564193408,-1.0,35.0,-36.0,-0.00018520763923524086,0.0007932665046646026,-0.0009784741438998434,-0.00012394752454303326,0.0006018202621003166,-0.0007257677866433498,-0.007826306221204504,0.0010977246024453935,0.018142761533494478,over_circular,0.0,0.0,0.0
148881870-148882178-002,light_dysplastic,baseline,0.014752428916928628,-0.006130267886875984,0.020882696803804612,-2.9289320707321167,-1.7573596239089966,-1.1715724468231201,0.005050927633867053,-0.05885075468307255,0.0639016823169396,7.0,-32.0,39.0,-0.0013351298522832344,0.007770357641622705,-0.00910548749390594,-0.0010892473080713616,0.012460149485153726,-0.013549396793225088,-0.014752428916928628,0.006130267886875984,0.01330431241292318,over_circular,0.0,0.0,0.0
148882307-148882323-001,light_dysplastic,baseline,0.1443517107615907,0.006265665491275496,0.1380860452703152,31.632469654083252,4.862918019294739,26.769551634788513,-0.004449185118898302,0.012450903407823233,-0.016900088526721535,-54.0,153.0,-207.0,0.0037566206882384545,-0.011498648486932384,0.015255269175170838,0.002431926117604899,-0.0074370721857625055,0.009868998303367404,-0.1443517107615907,-0.006265665491275496,-0.003477067784279808,under_circular,0.0,0.0,0.0
148882535-148882616-001,light_dysplastic,baseline,-0.022519812790828098,0.0017989504319015914,-0.02431876322272969,-10.86291778087616,-9.850725769996643,-1.0121920108795166,0.007026626921421197,-0.03010287299393516,0.037129499915356357,92.0,-405.0,497.0,-0.006325780971475514,0.027832310511760827,-0.03415809148323634,-0.004593645483216169,0.019945664808549757,-0.024539310291765926,0.022519812790828098,-0.0017989504319015914,-0.21135245867360303,under_circular,0.0,0.0,0.0
148882671-148882687-001,light_dysplastic,baseline,-0.07879589795703046,-0.00816212218301715,-0.07063377577401331,-33.38982880115509,-11.005053758621216,-22.384775042533875,0.0094518733395631,-0.04617834887113925,0.05563022221070235,42.0,-298.0,340.0,-0.0025845909889479213,0.018902543474481504,-0.021487134463429425,-0.0025218803082690533,0.017049102405622962,-0.019570982713892016,0.07879589795703046,0.00816212218301715,-0.26379122626624807,under_circular,0.0,0.0,0.0
149011613-149011656-001,light_dysplastic,baseline,-0.0983260948905691,-0.021364067922771568,-0.07696202696779753,-12.804043054580688,-5.875109910964966,-6.928933143615723,0.001550337924306061,-0.0003164642554160657,0.0018668021797221268,17.0,50.0,-33.0,0.001255364505212908,-0.0034833849965640873,0.004738749501776995,-0.00028912354066978896,0.0008602489072578878,-0.0011493724479276768,0.0983260948905691,0.021364067922771568,-0.11850756543607155,under_circular,0.0,0.0,0.0
149013033-149013072-001,moderate_dysplastic,baseline,-0.007503585257191636,-0.00036525142448229353,-0.007138333832709343,-0.5857865810394287,-0.5857867002487183,1.1920928955078125e-07,0.0013401598060990283,-0.00566967716229172,0.007009836968390748,-3.0,74.0,-77.0,0.0005938997305297011,-0.01172484891940706,0.012318748649936762,-0.0001546188048877628,1.821080234343242e-05,-0.00017282960723119523,0.007503585257191636,0.00036525142448229353,-0.01588084529235312,under_circular,0.0,0.0,0.0
149014929-149014984-001,moderate_dysplastic,baseline,0.008168437278313179,-0.002562065928386925,0.010730503206700104,0.0,0.0,0.0,-0.0006046383725242244,0.022670274181844863,-0.023274912554369087,0.0,0.0,0.0,-0.00023084968692088648,0.005468894521185819,-0.005699744208106705,-0.0001309228017191133,0.005390412707256043,-0.005521335508975156,-0.008168437278313179,0.002562065928386925,0.05447972715047189,over_circular,0.0,0.0,0.0
149014929-149015008-003,moderate_dysplastic,baseline,-0.04354886403240599,-0.008368997588286464,-0.03517986644411952,-9.27207863330841,-5.129943370819092,-4.142135262489319,0.0063875273619601325,-0.044508494854816893,0.050896022216777026,7.0,-109.0,116.0,-0.000786469477791707,0.0124521270457697,-0.013238596523561408,-0.0008944041225337207,0.013933693292535465,-0.014828097415069186,0.04354886403240599,0.008368997588286464,-0.2453909969731244,under_circular,0.0,0.0,0.0
149014929-149015022-001,light_dysplastic,baseline,-0.03351719717929125,-0.007786036894232851,-0.025731160285058396,-11.715729594230652,-6.360391139984131,-5.355338454246521,0.0038261188206734076,-0.02685626263254559,0.030682381453219,30.0,-215.0,245.0,-0.0022126336012391334,0.01768784518012312,-0.019900478781362252,-0.001689136564354654,0.013275222746547022,-0.014964359310901676,0.03351719717929125,0.007786036894232851,-0.07940076754244074,under_circular,0.0,0.0,0.0
149014929-149015022-002,light_dysplastic,baseline,0.019405295897187036,-0.00034748009482726827,0.019752775992014304,11.715729117393494,4.017245650291443,7.698483467102051,0.003800404310066674,0.0023044878830094095,0.0014959164270572645,22.0,-129.0,151.0,-0.0018492728347522247,0.008961863652853563,-0.010811136487605788,-0.0015335956606601364,0.00747268206113727,-0.009006277721797407,-0.019405295897187036,0.00034748009482726827,0.05209455429180221,over_circular,0.0,0.0,0.0
149053341-149053350-001,moderate_dysplastic,baseline,-0.03653142217116023,-0.015479797312236587,-0.021051624858923645,0.7106790542602539,-3.088310480117798,3.7989895343780518,-0.00246686584949668,-0.0019786487291499344,-0.0004882171203467456,-15.0,82.0,-97.0,0.0013990366036090718,-0.006741805013453894,0.008140841617062966,0.0009470892978546974,-0.004489216964446707,0.005436306262301405,0.03653142217116023,0.015479797312236587,-0.050261925202849556,under_circular,0.0,0.0,0.0
149053945-149053969-001,moderate_dysplastic,baseline,-0.024799483578081483,-0.002227009747026387,-0.022572473831055095,-3.6152244806289673,-2.5857865810394287,-1.0294378995895386,0.0011639147780173054,-0.0023216261461583843,0.0034855409241756896,8.0,-16.0,24.0,-0.0014312267795763,0.0028760761816828406,-0.004307302961259141,-0.0006906289052796,0.00612247441219449,-0.00681310331747409,0.024799483578081483,0.002227009747026387,-0.14390668561596553,under_circular,0.0,0.0,0.0
149053945-149053976-001,moderate_dysplastic,baseline,-0.07909659002837188,-0.016962147984288634,-0.06213444204408325,10.544156551361084,6.9461774826049805,3.5979790687561035,-0.0015715309266879918,0.009627799296662007,-0.011199330223349999,-32.0,198.0,-230.0,0.0017164224851345944,-0.011963399148130271,0.013679821633264866,0.0008561234798891704,-0.00604291860206696,0.0068990420819561304,0.07909659002837188,0.016962147984288634,-0.17280617777591611,under_circular,0.0,0.0,0.0
149054642-149054677-003,light_dysplastic,baseline,-0.005481779839840328,-0.004698220571561773,-0.0007835592682785553,1.7573597431182861,1.7573593854904175,3.5762786865234375e-07,-0.00020291655267462572,0.0002028536815507076,-0.0004057702342253333,-4.0,31.0,-35.0,0.00048277425418963293,-0.006731400122623743,0.007214174376813376,0.00043042701216111645,-0.004460024569236665,0.004890451581397781,0.005481779839840328,0.004698220571561773,-0.011243443827698596,under_circular,0.0,0.0,0.0
149056321-149056343-001,severe_dysplastic,baseline,-0.05638536845607611,-0.0034837412923020006,-0.05290162716377411,-11.129943013191223,-3.171573042869568,-7.958369970321655,0.00207710692871399,-0.018217288168763335,0.020294395097477325,18.0,-49.0,67.0,-0.0006500796775456008,0.0005501882290434024,-0.0012002679065890032,-0.0007718449685754081,0.002326250856677481,-0.003098095825252889,0.05638536845607611,0.0034837412923020006,-0.06906551408752337,under_circular,0.0,0.0,0.0
