seed,cell_id,class,delta_nc_error,delta_foreground_dice,delta_nucleus_dice,delta_cytoplasm_dice,delta_circularity_error,delta_nucleus_area_error,delta_cytoplasm_area_error,baseline_nc_error,nc_aware_nc_error,baseline_foreground_dice,nc_aware_foreground_dice
20260803,149053423-149053447-001,light_dysplastic,0.03146392103850765,0.0026903287778911045,-0.0023450950002940063,0.007725752556076215,0.021702421392169158,250.0,241.0,0.06632171893854344,0.09778563997705109,0.8984793526924101,0.9011696814703012
20260803,149054526-149054563-001,light_dysplastic,0.3048463052504773,0.005341579694805421,-0.031118459892281236,0.04180161928189219,-0.2062897547838023,407.0,-1570.0,0.178573596997819,0.4834199022482963,0.6353824906750976,0.640724070369903
20260803,149056321-149056360-003,severe_dysplastic,0.05697242459644547,-0.019938835523235943,0.006586979753765987,-0.04646465080023787,-0.015310008902582273,-56.0,1564.0,0.030358089998692217,0.08733051459513769,0.9420224155186188,0.9220835799953828
20260803,149056410-149056458-005,severe_dysplastic,0.09480341518014845,-0.023779159985274356,-0.02530776904049392,-0.02225055093005479,0.0861345611572818,2.0,97.0,0.010956377100019843,0.1057597922801683,0.8742976137981688,0.8505184538128945
20260803,149056785-149056813-002,severe_dysplastic,0.09804997130594095,-0.008604129343299238,0.0080879914953641,-0.025296250181962354,-0.0024794406460491025,-63.0,476.0,0.03228752452138273,0.13033749582732368,0.9300720363735946,0.9214679070302954
20260803,149056933-149056982-005,severe_dysplastic,-0.10597910711138836,0.05369883459143099,0.04047348999684419,0.0669241791860179,0.01274717621257837,-212.0,-769.0,0.16473118468036207,0.058752077568973715,0.8366971104320253,0.8903959450234563
20260803,149057164-149057197-001,severe_dysplastic,-0.08137134540274338,-0.051051765323571696,-0.025067807521988672,-0.07703572312515472,-0.055093248237690795,272.0,-892.0,0.4253852260220514,0.34401388061930804,0.7409611058287519,0.6899093405051802
20260803,149057812-149057847-002,moderate_dysplastic,-0.25393128984142255,0.06836049902807495,0.04343577609712246,0.09328522195902755,0.006082070903847159,-346.0,-1117.0,0.5085997327167434,0.25466844287532087,0.7860307215036221,0.854391220531697
20260803,149058262-149058288-001,moderate_dysplastic,0.09292335192144591,-0.012674041828362959,-0.035723504884910384,0.010375421228184578,-0.0024630419461023623,213.0,-203.0,0.07827597606591735,0.17119932798736326,0.8308073873555584,0.8181333455271954
20260803,149058262-149058288-003,moderate_dysplastic,-0.03435057508369674,0.010585631949909247,-0.00323792820746982,0.024409192107288313,-0.016230435301980206,-131.0,-856.0,0.10215082412058926,0.06780024903689252,0.890476008078557,0.9010616400284662
20260803,149059215-149059228-001,light_dysplastic,-0.013594302705860858,0.014494953359019958,-0.010239259708543114,0.03922916642658281,-0.05194422498772555,41.0,-3563.0,0.05609351116354386,0.042499208457683,0.8445404068659446,0.8590353602249645
20260803,149061548-149061568-002,severe_dysplastic,0.007848679777612833,-0.017187321365319974,0.005070813553126219,-0.03944545628376617,-0.01635872521389803,-84.0,41.0,0.1846856269452063,0.19253430672281913,0.9087633340839516,0.8915760127186316
20260803,149061666-149061699-001,moderate_dysplastic,-0.19763989533011275,0.06704750309399221,-0.032937459516584444,0.16703246570456876,0.22001278360033094,243.0,-4404.0,0.22385697395204837,0.02621707862193562,0.8201923291533322,0.8872398322473244
