split,cell_id,class,seed,model,degradation,severity,clean_foreground_dice,degraded_foreground_dice,delta_foreground_dice,clean_nucleus_dice,degraded_nucleus_dice,delta_nucleus_dice,clean_cytoplasm_dice,degraded_cytoplasm_dice,delta_cytoplasm_dice,clean_nc_absolute_error,degraded_nc_absolute_error,delta_nc_absolute_error,clean_circularity_absolute_error,degraded_circularity_absolute_error,delta_circularity_absolute_error,clean_nucleus_area_absolute_error,degraded_nucleus_area_absolute_error,delta_nucleus_area_absolute_error,clean_cytoplasm_area_absolute_error,degraded_cytoplasm_area_absolute_error,delta_cytoplasm_area_absolute_error
calibration,149315775-149315790-001,carcinoma_in_situ,20260803,baseline,gaussian_noise,20,0.86329525416624,0.8548697628960518,-0.008425491270188212,0.9760266833437565,0.9490852986554992,-0.026941384688257353,0.7505638249887235,0.7606542271366045,0.010090402147880928,0.19391005595786692,0.26495609338004844,0.07104603742218152,0.10980473092080789,0.02575106139019323,-0.08405366953061466,79,181,102,466,373,-93
calibration,149316025-149316032-001,carcinoma_in_situ,20260803,baseline,gaussian_blur,1,0.8849901854801072,0.8807046951531983,-0.004285490326908947,0.9686202122750346,0.9688724925063408,0.00025228023130619004,0.80136015868518,0.7925368978000557,-0.008823260885124307,0.4959551655954213,0.5244106178571886,0.028455452261767267,0.02843085420499003,0.04017295050626324,0.011742096301273208,130,127,-3,587,649,62
calibration,149357956-149358043-001,carcinoma_in_situ,20260803,baseline,gaussian_blur,2,0.7745643190396148,0.7693534768135419,-0.0052108422260728204,0.9129180105245289,0.908444745303774,-0.004473265220754974,0.6362106275547007,0.63026220832331,-0.005948419231390667,0.9997738897438582,0.992139939970474,-0.007633949773384163,0.22266898259996043,0.3214512148911825,0.09878223229122207,357,339,-18,1111,1109,-2
calibration,153314857-153314909-001,severe_dysplastic,20260803,baseline,gaussian_blur,1,0.8679055077913584,0.8632888790721827,-0.004616628719175786,0.925867150306053,0.9248922169276151,-0.0009749333784379033,0.809943865276664,0.8016855412167501,-0.00825832405991389,0.43256577140263175,0.46040584557260666,0.027840074169974915,0.06128034488484302,0.06465182091284094,0.0033714760279979217,327,331,4,401,457,56
calibration,153314956-153314985-002,severe_dysplastic,20260803,baseline,gaussian_blur,1,0.8364732753097788,0.8276801271020737,-0.008793148207705048,0.9458581483486735,0.9421352893235534,-0.003722859025120151,0.727088402270884,0.7132249648805941,-0.013863437390289945,0.6984740864847587,0.7282684905061467,0.029794404021388,0.08360241006690372,0.09200306350375609,0.008400653436852368,398,424,26,850,901,51
calibration,153654325-153654351-003,severe_dysplastic,20260803,baseline,gaussian_blur,3,0.8536457084764135,0.8511570391140656,-0.0024886693623479283,0.936080740117746,0.941692789968652,0.00561204985090602,0.771210676835081,0.7606212882594792,-0.010589388575601877,0.5633885659889637,0.6143457462272378,0.050957180238274113,0.06585604069018958,0.0869867336451734,0.02113069295498382,304,275,-29,742,924,182
calibration,153655593-153655600-001,light_dysplastic,20260803,baseline,gaussian_blur,2,0.6289184959524099,0.6219988536928194,-0.006919642259590519,0.7974994875999181,0.7820659523561844,-0.015433535243733698,0.46033750430490183,0.46193175502945427,0.0015942507245524373,0.8900408607089788,0.9561821331335129,0.06614127242453405,0.26787071858156575,0.17456758478046286,-0.09330313380110289,1844,1989,145,1685,1971,286
calibration,153655593-153655600-001,light_dysplastic,20260803,baseline,gaussian_blur,3,0.6289184959524099,0.6204704829921168,-0.008448012960293072,0.7974994875999181,0.7731568998109641,-0.02434258778895393,0.46033750430490183,0.4677840661732695,0.007446561868367674,0.8900408607089788,0.9956123699136373,0.10557150920465852,0.26787071858156575,0.06653894325203691,-0.20133177532952884,1844,2080,236,1685,2162,477
calibration,153656862-153656891-001,light_dysplastic,20260803,baseline,gaussian_noise,10,0.8606546426997788,0.8570864703635818,-0.0035681723361969953,0.8972743459800028,0.8898146817985921,-0.007459664181410641,0.8240349394195549,0.8243582589285714,0.0003233195090165397,0.03823099210696024,0.015727708733550227,-0.02250328337341001,0.08719963820981602,0.2050476940249566,0.11784805581514057,1454,774,-680,1776,2056,280
calibration,153656957-153656964-001,light_dysplastic,20260803,baseline,gaussian_noise,20,0.8908190328641592,0.8879238705568471,-0.002895162307312127,0.9398260869565217,0.9377391304347826,-0.0020869565217390695,0.8418119787717968,0.8381086106789116,-0.003703368092885184,0.026241508318239598,0.025832583371181328,-0.0004089249470582701,0.18266903678494972,0.23002108353676765,0.04735204675181792,598,598,0,5880,5822,-58
calibration,153657121-153657151-001,severe_dysplastic,20260803,baseline,gaussian_noise,30,0.8318381768538804,0.8224134533252349,-0.00942472352864554,0.8634265544393158,0.8362038664323375,-0.027222688006978357,0.800249799268445,0.8086230402181322,0.008373240949687277,0.1678507088522918,0.1735449455506069,0.005694236698315092,0.1468073149879464,0.2408746667755562,0.09406735178760978,840,836,-4,153,374,221
calibration,153657327-153657363-002,light_dysplastic,20260803,baseline,gaussian_noise,20,0.9432409572295362,0.934075774168877,-0.009165183060659166,0.9601248536870854,0.9511791150721666,-0.008945738614918874,0.9263570607719868,0.9169724332655873,-0.009384627506399457,0.013632925482497449,0.014372859130980992,0.0007399336484835428,0.1841531103593067,0.2521513536074519,0.06799824324814518,263,399,136,1391,739,-652
calibration,153659229-153659256-003,severe_dysplastic,20260803,baseline,gaussian_blur,2,0.6702274359230319,0.6672927675313098,-0.002934668391722073,0.7286784247402754,0.7246728065923412,-0.004005618147934209,0.6117764471057884,0.6099127284702783,-0.0018637186355100477,0.880678611380284,0.8897970135369249,0.009118402156640837,0.08329905797238513,0.14219024680786185,0.05889118883547673,1123,1136,13,1850,1911,61
calibration,153659229-153659256-003,severe_dysplastic,20260803,baseline,gaussian_blur,3,0.6702274359230319,0.6650782344802963,-0.005149201442735563,0.7286784247402754,0.7243636363636363,-0.004314788376639123,0.6117764471057884,0.6057928325969563,-0.0059836145088321135,0.880678611380284,0.8935764085552494,0.01289779717496542,0.08329905797238513,0.17769329612760865,0.09439423815522352,1123,1137,14,1850,1949,99
calibration,153697342-153697366-002,moderate_dysplastic,20260803,baseline,gaussian_noise,20,0.7851810324569333,0.7940046657955342,0.008823633338600922,0.9482333607230896,0.9327820186598813,-0.015451342063208306,0.6221287041907768,0.655227312931187,0.03309860874041015,1.3491095030399154,1.4137629475846056,0.06465344454469024,0.09035074955459754,0.16820571784392135,0.07785496828932381,256,560,304,1863,1813,-50
calibration,153697342-153697384-002,moderate_dysplastic,20260803,baseline,gaussian_noise,30,0.8755532534277761,0.8662404102233467,-0.009312843204429377,0.9794882639035737,0.9447961790514273,-0.034692084852146365,0.7716182429519787,0.7876846413952661,0.01606639844328739,0.2672063638247275,0.2987917642627924,0.0315854004380649,0.039659335278533825,0.21954383619439144,0.17988450091585761,6,449,443,1859,1498,-361
calibration,153698259-153698268-002,moderate_dysplastic,20260803,baseline,gaussian_noise,20,0.8799020233864205,0.8829854828142847,0.0030834594278641436,0.9760060457207633,0.9519562132576526,-0.024049832463110765,0.7837980010520779,0.8140147523709168,0.03021675131883894,0.35091153733338887,0.5130010565352734,0.16208951920188452,0.004925591113394634,0.16913346586841094,0.1642078747550163,127,233,106,560,554,-6
calibration,153827595-153827618-002,severe_dysplastic,20260803,baseline,gaussian_noise,10,0.8479859600041446,0.8393241748096498,-0.008661785194494787,0.9543052533416226,0.9435382685069009,-0.010766984834721716,0.7416666666666667,0.7351100811123986,-0.0065565855542680795,0.018300052064079142,0.00633708576162173,-0.011962966302457412,0.0058790873315912595,0.11438491467133349,0.10850582733974223,29,58,29,92,97,5
calibration,153827595-153827657-001,carcinoma_in_situ,20260803,baseline,gaussian_blur,2,0.8631301812615921,0.8634844870034486,0.00035430574185646435,0.9521434138737335,0.9521575984990619,1.4184625328428346e-05,0.7741169486494509,0.7748113755078352,0.0006944268583842783,0.8643938212912523,0.9313838973407698,0.06699007604951746,0.0005688491957253072,0.09030578778889464,0.08973693859316934,253,272,19,607,684,77
calibration,153827595-153827657-001,carcinoma_in_situ,20260803,baseline,gaussian_blur,3,0.8631301812615921,0.8590871963577464,-0.004042984903845692,0.9521434138737335,0.950619219313372,-0.0015241945603614582,0.7741169486494509,0.767555173402121,-0.006561775247329926,0.8643938212912523,0.9696954603476018,0.10530163905634948,0.0005688491957253072,0.1009464457413658,0.10037759654564049,253,289,36,607,727,120
calibration,153828952-153828980-001,severe_dysplastic,20260803,baseline,gaussian_blur,1,0.8397487904384775,0.8355969759248276,-0.004151814513649876,0.973137635004154,0.9711271515824542,-0.002010483421699738,0.706359945872801,0.700066800267201,-0.006293145605600015,0.6001561580864169,0.6253326924085867,0.02517653432216982,0.013712700502879871,0.022659513419083233,0.008946812916203362,23,32,9,670,708,38
calibration,153828952-153829000-003,severe_dysplastic,20260803,baseline,gaussian_noise,10,0.872366790582404,0.8661873544865738,-0.00617943609583016,0.9781082197439075,0.9723089735581928,-0.0057992461857147015,0.7666253614209004,0.7600657354149548,-0.006559626005945618,0.7385517914228759,0.7812219652857104,0.04267017386283456,0.09016619976391427,0.02143049622649318,-0.06873570353742109,42,81,39,413,426,13
calibration,153829700-153829711-001,moderate_dysplastic,20260803,baseline,gaussian_blur,2,0.8542091296018702,0.8474046205741973,-0.006804509027672934,0.9255819286779039,0.9233935513377544,-0.0021883773401495388,0.7828363305258366,0.7714156898106402,-0.011420640715196329,0.047015855729249156,0.033725964620614834,-0.013289891108634322,0.1375775721607071,0.18825292343217348,0.050675351271466385,619,644,25,416,502,86
calibration,153830261-153830340-001,severe_dysplastic,20260803,baseline,gaussian_blur,1,0.7712107530522792,0.7694994050156154,-0.001711348036663729,0.8837123991195891,0.8882395909422937,0.004527191822704557,0.6587091069849691,0.6507592190889371,-0.007949887896032015,1.787265693008663,1.8221618294405706,0.03489613643190759,0.12947978596503762,0.13951152400111155,0.010031738036073934,616,592,-24,536,579,43
