family,split,seed,model,degradation,metric,expected_direction,values_by_severity,trend_label,target
conformal,test,20260803,baseline,gaussian_blur,coverage_gap,decrease,-0.0538462|-0.0428571|-0.0311475,inconsistent,circularity
conformal,test,20260803,baseline,gaussian_blur,interval_mean_width,increase,0.4998|0.4998|0.4998,partially_monotonic,circularity
conformal,test,20260803,baseline,gaussian_blur,invalid_rate,increase,0.0108696|0.0108696|0.00543478,partially_monotonic,circularity
conformal,test,20260803,baseline,gaussian_noise,empirical_coverage,decrease,0.857143|0.674033|0.41573,fully_monotonic,circularity
conformal,test,20260803,baseline,gaussian_noise,coverage_gap,decrease,-0.0428571|-0.225967|-0.48427,fully_monotonic,circularity
conformal,test,20260803,baseline,gaussian_noise,interval_mean_width,increase,0.4998|0.4998|0.4998,partially_monotonic,circularity
conformal,test,20260803,baseline,gaussian_noise,invalid_rate,increase,0.0108696|0.0163043|0.0326087,fully_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,empirical_coverage,decrease,0.831522|0.836957|0.831522,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,coverage_gap,decrease,-0.0684783|-0.0630435|-0.0684783,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,interval_mean_width,increase,1.20509|1.20509|1.20509,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,empirical_coverage,decrease,0.836957|0.842391|0.842391,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,coverage_gap,decrease,-0.0630435|-0.0576087|-0.0576087,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,interval_mean_width,increase,1.20509|1.20509|1.20509,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,invalid_rate,increase,0|0|0,partially_monotonic,nc
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,empirical_coverage,decrease,0.851648|0.846154|0.857143,partially_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,coverage_gap,decrease,-0.0483516|-0.0538462|-0.0428571,partially_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,interval_mean_width,increase,0.476954|0.476954|0.476954,partially_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_blur,invalid_rate,increase,0.0108696|0.0108696|0.0108696,partially_monotonic,circularity
conformal,test,20260803,nc_aware_lambda_0p10,gaussian_noise,empirical_coverage,decrease,0.818681|0.78022|0.659341,fully_monotonic,circularity
