seed,model,degradation,severity,nc_clean_coverage,nc_degraded_coverage,nc_coverage_change,circularity_clean_coverage,circularity_degraded_coverage,circularity_coverage_change,target_gap_difference,more_fragile_target
20260804,nc_aware_lambda_0p10,gaussian_blur,1.0,0.8532608695652174,0.8478260869565217,-0.005434782608695676,0.8351648351648352,0.8571428571428571,0.0219780219780219,0.027412804586717576,nc
20260804,nc_aware_lambda_0p10,gaussian_blur,2.0,0.8532608695652174,0.8478260869565217,-0.005434782608695676,0.8351648351648352,0.8415300546448088,0.006365219479973594,0.01180000208866927,nc
20260804,nc_aware_lambda_0p10,gaussian_blur,3.0,0.8532608695652174,0.8532608695652174,0.0,0.8351648351648352,0.8633879781420765,0.028223142977241267,0.028223142977241267,nc
20260804,nc_aware_lambda_0p10,gaussian_noise,10.0,0.8532608695652174,0.8586956521739131,0.005434782608695676,0.8351648351648352,0.8296703296703297,-0.005494505494505475,-0.010929288103201151,circularity
20260804,nc_aware_lambda_0p10,gaussian_noise,20.0,0.8532608695652174,0.8695652173913043,0.016304347826086918,0.8351648351648352,0.7377049180327869,-0.09745991713204827,-0.11376426495813519,circularity
20260804,nc_aware_lambda_0p10,gaussian_noise,30.0,0.8532608695652174,0.8804347826086957,0.02717391304347827,0.8351648351648352,0.5573770491803278,-0.2777877859845074,-0.30496169902798564,circularity
20260805,baseline,gaussian_blur,1.0,0.8858695652173914,0.8858695652173914,0.0,0.8913043478260869,0.9021739130434783,0.010869565217391353,0.010869565217391353,nc
20260805,baseline,gaussian_blur,2.0,0.8858695652173914,0.8913043478260869,0.005434782608695565,0.8913043478260869,0.8913043478260869,0.0,-0.005434782608695565,circularity
20260805,baseline,gaussian_blur,3.0,0.8858695652173914,0.8858695652173914,0.0,0.8913043478260869,0.907608695652174,0.01630434782608703,0.01630434782608703,nc
20260805,baseline,gaussian_noise,10.0,0.8858695652173914,0.8913043478260869,0.005434782608695565,0.8913043478260869,0.875,-0.016304347826086918,-0.021739130434782483,circularity
20260805,baseline,gaussian_noise,20.0,0.8858695652173914,0.8858695652173914,0.0,0.8913043478260869,0.842391304347826,-0.048913043478260865,-0.048913043478260865,circularity
20260805,baseline,gaussian_noise,30.0,0.8858695652173914,0.8641304347826086,-0.021739130434782705,0.8913043478260869,0.6467391304347826,-0.24456521739130432,-0.22282608695652162,circularity
20260805,nc_aware_lambda_0p10,gaussian_blur,1.0,0.8858695652173914,0.875,-0.010869565217391353,0.8633879781420765,0.9016393442622951,0.03825136612021862,0.049120931337609974,nc
20260805,nc_aware_lambda_0p10,gaussian_blur,2.0,0.8858695652173914,0.875,-0.010869565217391353,0.8633879781420765,0.907103825136612,0.04371584699453557,0.05458541221192692,nc
20260805,nc_aware_lambda_0p10,gaussian_blur,3.0,0.8858695652173914,0.8695652173913043,-0.01630434782608703,0.8633879781420765,0.8961748633879781,0.032786885245901676,0.049091233071988705,nc
20260805,nc_aware_lambda_0p10,gaussian_noise,10.0,0.8858695652173914,0.875,-0.010869565217391353,0.8633879781420765,0.825136612021858,-0.03825136612021851,-0.027381800902827158,circularity
