seed,model,target,degradation,severity,nominal_coverage,clean_coverage,empirical_coverage,coverage_gap,coverage_delta_vs_clean,below_nominal,frozen_quantile
20260804,baseline,nc,gaussian_blur,1.0,0.9,0.8804347826086957,0.8967391304347826,-0.003260869565217428,0.016304347826086918,True,0.6263332419096694
20260804,baseline,nc,gaussian_blur,2.0,0.9,0.8804347826086957,0.8913043478260869,-0.008695652173913104,0.010869565217391242,True,0.6263332419096694
20260804,baseline,nc,gaussian_blur,3.0,0.9,0.8804347826086957,0.8858695652173914,-0.01413043478260867,0.005434782608695676,True,0.6263332419096694
20260804,baseline,nc,gaussian_noise,10.0,0.9,0.8804347826086957,0.8858695652173914,-0.01413043478260867,0.005434782608695676,True,0.6263332419096694
20260804,baseline,nc,gaussian_noise,20.0,0.9,0.8804347826086957,0.8858695652173914,-0.01413043478260867,0.005434782608695676,True,0.6263332419096694
20260804,baseline,nc,gaussian_noise,30.0,0.9,0.8804347826086957,0.8586956521739131,-0.04130434782608694,-0.021739130434782594,True,0.6263332419096694
20260804,baseline,circularity,clean,clean,0.9,0.907608695652174,0.907608695652174,0.007608695652173925,0.0,False,0.2496109685039164
20260804,baseline,circularity,gaussian_blur,1.0,0.9,0.907608695652174,0.9021739130434783,0.0021739130434782483,-0.005434782608695676,False,0.2496109685039164
20260804,baseline,circularity,gaussian_blur,2.0,0.9,0.907608695652174,0.8967391304347826,-0.003260869565217428,-0.010869565217391353,True,0.2496109685039164
20260804,baseline,circularity,gaussian_blur,3.0,0.9,0.907608695652174,0.8852459016393442,-0.014754098360655776,-0.0223627940128297,True,0.2496109685039164
20260804,baseline,circularity,gaussian_noise,10.0,0.9,0.907608695652174,0.8804347826086957,-0.019565217391304346,-0.02717391304347827,True,0.2496109685039164
20260804,baseline,circularity,gaussian_noise,20.0,0.9,0.907608695652174,0.8206521739130435,-0.07934782608695656,-0.08695652173913049,True,0.2496109685039164
20260804,baseline,circularity,gaussian_noise,30.0,0.9,0.907608695652174,0.5869565217391305,-0.31304347826086953,-0.32065217391304346,True,0.2496109685039164
20260804,nc_aware_lambda_0p10,nc,clean,clean,0.9,0.8532608695652174,0.8532608695652174,-0.046739130434782616,0.0,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,nc,gaussian_blur,1.0,0.9,0.8532608695652174,0.8478260869565217,-0.05217391304347829,-0.005434782608695676,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,nc,gaussian_blur,2.0,0.9,0.8532608695652174,0.8478260869565217,-0.05217391304347829,-0.005434782608695676,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,nc,gaussian_blur,3.0,0.9,0.8532608695652174,0.8532608695652174,-0.046739130434782616,0.0,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,nc,gaussian_noise,10.0,0.9,0.8532608695652174,0.8586956521739131,-0.04130434782608694,0.005434782608695676,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,nc,gaussian_noise,20.0,0.9,0.8532608695652174,0.8695652173913043,-0.0304347826086957,0.016304347826086918,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,nc,gaussian_noise,30.0,0.9,0.8532608695652174,0.8804347826086957,-0.019565217391304346,0.02717391304347827,True,0.6198792444168175
20260804,nc_aware_lambda_0p10,circularity,clean,clean,0.9,0.8351648351648352,0.8351648351648352,-0.06483516483516483,0.0,True,0.2355224321657753
20260804,nc_aware_lambda_0p10,circularity,gaussian_blur,1.0,0.9,0.8351648351648352,0.8571428571428571,-0.04285714285714293,0.0219780219780219,True,0.2355224321657753
20260804,nc_aware_lambda_0p10,circularity,gaussian_blur,2.0,0.9,0.8351648351648352,0.8415300546448088,-0.05846994535519123,0.006365219479973594,True,0.2355224321657753
20260804,nc_aware_lambda_0p10,circularity,gaussian_blur,3.0,0.9,0.8351648351648352,0.8633879781420765,-0.03661202185792356,0.028223142977241267,True,0.2355224321657753
20260804,nc_aware_lambda_0p10,circularity,gaussian_noise,10.0,0.9,0.8351648351648352,0.8296703296703297,-0.0703296703296703,-0.005494505494505475,True,0.2355224321657753
20260804,nc_aware_lambda_0p10,circularity,gaussian_noise,20.0,0.9,0.8351648351648352,0.7377049180327869,-0.1622950819672131,-0.09745991713204827,True,0.2355224321657753
20260804,nc_aware_lambda_0p10,circularity,gaussian_noise,30.0,0.9,0.8351648351648352,0.5573770491803278,-0.3426229508196722,-0.2777877859845074,True,0.2355224321657753
20260805,baseline,nc,clean,clean,0.9,0.8858695652173914,0.8858695652173914,-0.01413043478260867,0.0,True,0.6176360438174403
20260805,baseline,nc,gaussian_blur,1.0,0.9,0.8858695652173914,0.8858695652173914,-0.01413043478260867,0.0,True,0.6176360438174403
20260805,baseline,nc,gaussian_blur,2.0,0.9,0.8858695652173914,0.8913043478260869,-0.008695652173913104,0.005434782608695565,True,0.6176360438174403
20260805,baseline,nc,gaussian_blur,3.0,0.9,0.8858695652173914,0.8858695652173914,-0.01413043478260867,0.0,True,0.6176360438174403
20260805,baseline,nc,gaussian_noise,10.0,0.9,0.8858695652173914,0.8913043478260869,-0.008695652173913104,0.005434782608695565,True,0.6176360438174403
20260805,baseline,nc,gaussian_noise,20.0,0.9,0.8858695652173914,0.8858695652173914,-0.01413043478260867,0.0,True,0.6176360438174403
20260805,baseline,nc,gaussian_noise,30.0,0.9,0.8858695652173914,0.8641304347826086,-0.035869565217391375,-0.021739130434782705,True,0.6176360438174403
20260805,baseline,circularity,clean,clean,0.9,0.8913043478260869,0.8913043478260869,-0.008695652173913104,0.0,True,0.24893368489842765
20260805,baseline,circularity,gaussian_blur,1.0,0.9,0.8913043478260869,0.9021739130434783,0.0021739130434782483,0.010869565217391353,False,0.24893368489842765
20260805,baseline,circularity,gaussian_blur,2.0,0.9,0.8913043478260869,0.8913043478260869,-0.008695652173913104,0.0,True,0.24893368489842765
20260805,baseline,circularity,gaussian_blur,3.0,0.9,0.8913043478260869,0.907608695652174,0.007608695652173925,0.01630434782608703,False,0.24893368489842765
20260805,baseline,circularity,gaussian_noise,10.0,0.9,0.8913043478260869,0.875,-0.025000000000000022,-0.016304347826086918,True,0.24893368489842765
20260805,baseline,circularity,gaussian_noise,20.0,0.9,0.8913043478260869,0.842391304347826,-0.05760869565217397,-0.048913043478260865,True,0.24893368489842765
20260805,baseline,circularity,gaussian_noise,30.0,0.9,0.8913043478260869,0.6467391304347826,-0.25326086956521743,-0.24456521739130432,True,0.24893368489842765
20260805,nc_aware_lambda_0p10,nc,clean,clean,0.9,0.8858695652173914,0.8858695652173914,-0.01413043478260867,0.0,True,0.7192721371259566
20260805,nc_aware_lambda_0p10,nc,gaussian_blur,1.0,0.9,0.8858695652173914,0.875,-0.025000000000000022,-0.010869565217391353,True,0.7192721371259566
20260805,nc_aware_lambda_0p10,nc,gaussian_blur,2.0,0.9,0.8858695652173914,0.875,-0.025000000000000022,-0.010869565217391353,True,0.7192721371259566
20260805,nc_aware_lambda_0p10,nc,gaussian_blur,3.0,0.9,0.8858695652173914,0.8695652173913043,-0.0304347826086957,-0.01630434782608703,True,0.7192721371259566
