case_type,rank,seed,cell_id,class,delta_nc_error,delta_foreground_dice,delta_nucleus_dice,delta_cytoplasm_dice,delta_circularity_error,delta_nucleus_area_error,delta_cytoplasm_area_error,baseline_nc_error,nc_aware_nc_error,baseline_foreground_dice,nc_aware_foreground_dice,model,nucleus_dice,cytoplasm_dice,foreground_dice,gt_nucleus_area,pred_nucleus_area,gt_cytoplasm_area,pred_cytoplasm_area,gt_nc,gt_circularity,nucleus_area_absolute_error,cytoplasm_area_absolute_error,pred_nc,nc_absolute_error,nc_relative_error,invalid_nc,pred_circularity,circularity_absolute_error,invalid_circularity,best_epoch,high_dice,high_nc_error,high_circularity_error
top_nc_worsened,19,20260803,149317002-149317010-001,severe_dysplastic,0.28692821415058045,-0.07009920396528724,-0.05076684263074105,-0.08943156529983332,0.13004332468448976,184.0,181.0,0.050919044675218794,0.33784725882579925,0.9100633247224008,0.8399641207571136,,,,,,,,,,,,,,,,,,,,,,,
top_nc_worsened,20,20260803,149014929-149015008-002,moderate_dysplastic,0.28247732472473797,0.004648639598355819,-0.008244845714055815,0.01754212491076751,-0.09560956638327023,97.0,-1783.0,0.23744931000666014,0.5199266347313981,0.5439700883922824,0.5486187279906383,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,1,20260805,158987453-158987462-001,normal_superficiel,-0.015444859355409957,0.080459787808426,0.13620611568818025,0.024713459928671577,-0.504842309758898,-722.0,-3121.0,0.035788802614971846,0.02034394325956189,0.5837852892292076,0.6642450770376336,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,2,20260804,149315960-149315967-001,moderate_dysplastic,0.0738634438150354,0.06654526901583824,0.10775662493623417,0.025333913095442417,-0.4324342488650996,-1644.0,4224.0,0.2558518000599307,0.3297152438749661,0.7179700853110568,0.784515354326895,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,3,20260805,149054526-149054563-001,light_dysplastic,-0.4263067052941801,0.17021930698500198,0.18828850749979376,0.1521501064702102,-0.35710488248695343,-1945.0,1327.0,0.44067225233580104,0.014365547041620963,0.6729427602644988,0.8431620672495008,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,4,20260803,153657698-153657708-001,light_dysplastic,0.013791900272284385,0.031064342642704634,0.023251050883711377,0.03887763440169778,-0.3317491764090599,-498.0,-3338.0,0.001645320439757736,0.015437220712042121,0.8789673951417738,0.9100317377844784,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,5,20260804,149054526-149054563-001,light_dysplastic,0.12671019348149504,-0.07621960917173543,-0.05653804109071214,-0.09590117725275871,-0.3180603071739515,728.0,-3.0,0.32281099525426277,0.4495211887357578,0.6970892964593065,0.6208696872875711,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,6,20260805,149315960-149315967-001,moderate_dysplastic,-0.17697604979266213,0.16196629419941766,0.10841107982605336,0.21552150857278207,-0.25752351117578975,-1401.0,644.0,0.3418616475422428,0.16488559774958067,0.7664407056503256,0.9284069998497433,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,7,20260803,149315960-149315967-001,moderate_dysplastic,-0.016616054990340468,0.2382176768755595,0.12184563365720569,0.3545897200939133,-0.24387538730955205,-2321.0,-3773.0,0.18301890552230338,0.1664028505319629,0.6063936486567325,0.844611325532292,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,8,20260804,149059215-149059228-001,light_dysplastic,-0.051620499081333135,0.17204774698962133,0.29815657423734576,0.0459389197418969,-0.20824159849324836,-629.0,-1821.0,0.06508064023602479,0.013460141154691657,0.7285654976989376,0.900613244688559,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,9,20260805,149143370-149143378-002,carcinoma_in_situ,-0.5271276565922205,0.1482413241428049,0.051881389718215876,0.2446012585673938,-0.20672134966692235,-606.0,-22.0,0.7195927327074867,0.1924650761152662,0.5918337703525778,0.7400750944953827,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,10,20260803,149054526-149054563-001,light_dysplastic,0.3048463052504773,0.005341579694805421,-0.031118459892281236,0.04180161928189219,-0.2062897547838023,407.0,-1570.0,0.178573596997819,0.4834199022482963,0.6353824906750976,0.640724070369903,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,11,20260803,153657257-153657289-002,light_dysplastic,-0.3346844931272275,0.12756542953376315,0.14724185174701399,0.10788900732051221,-0.17973243678224515,-1751.0,-699.0,0.41955878940383406,0.08487429627660659,0.8167327051030553,0.9442981346368184,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,12,20260805,148884702-148884710-002,light_dysplastic,-0.04997622629833226,0.06824439556777495,0.10730077366445057,0.029188017471099337,-0.15098239378133516,-1075.0,-294.0,0.08346495035221746,0.0334887240538852,0.8577573968903063,0.9260017924580812,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,13,20260804,153958547-153958572-003,normal_columnar,0.13511960733249695,-0.016097752780366625,0.006994116648303739,-0.03918962220903688,-0.1406570237524828,-24.0,200.0,0.33910745529653474,0.4742270626290317,0.8037679952502362,0.7876702424698696,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,14,20260805,149056410-149056458-005,severe_dysplastic,-0.17006873589280058,0.03803931175318076,0.05079777766476812,0.025280845841593513,-0.12380754497165014,-102.0,-104.0,0.27321435700882346,0.10314562111602288,0.8492436743579304,0.8872829861111111,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,15,20260805,153657257-153657289-002,light_dysplastic,-0.12569904708958402,0.03210012119218897,0.03887814590779348,0.025322096476584455,-0.11539859244435524,-560.0,-585.0,0.15382892961480155,0.02812988252521753,0.9193956213681733,0.9514957425603623,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,16,20260804,149058262-149058288-001,moderate_dysplastic,0.13094005032701012,-0.05662349408265699,-0.05451813856910992,-0.05872884959620406,-0.11275739382675565,331.0,827.0,0.12415003037120742,0.25509008069821754,0.8453456630986698,0.7887221690160128,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,17,20260803,149147848-149147864-001,carcinoma_in_situ,-0.3147706665610175,0.19673497228197678,0.2309770162679815,0.16249292829597206,-0.10767972972264872,-1154.0,-2718.0,0.4274463555932234,0.11267568903220593,0.6597516615107203,0.8564866337926971,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,18,20260803,148881729-148881744-001,light_dysplastic,-0.03764214675058762,0.1048823050364236,0.15059298096269924,0.05917162911014795,-0.10750914498096087,-1522.0,-715.0,0.05052101120618942,0.012878864455601796,0.8232338451365762,0.9281161501729998,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,19,20260803,153314857-153314882-002,light_dysplastic,-0.04844372765424998,0.08195408134096116,0.09845417975024551,0.06545398293167692,-0.10106865823446054,-1395.0,-930.0,0.07680915622139395,0.02836542856714397,0.8131891411129486,0.8951432224539098,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_improved,20,20260805,157181387-157181418-001,normal_superficiel,-0.009511245216636433,0.18117460935906504,0.3536668467275056,0.008682371990624604,-0.09764916670314483,-916.0,4248.0,0.010496490169159387,0.0009852449525229534,0.707646779229294,0.888821388588359,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,1,20260803,153826963-153826976-001,severe_dysplastic,0.10983213980911988,-0.2101909190509439,-0.2143875667880717,-0.2059942713138163,0.4563921231107572,1201.0,465.0,0.034276574401544746,0.14410871421066462,0.9139314638983262,0.7037405448473824,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,2,20260805,149105131-149105205-002,moderate_dysplastic,0.23901548993276006,-0.1630402228582084,-0.24911938760474917,-0.07696105811166765,0.32562371307227234,1083.0,1717.0,0.0989010330041824,0.33791652293694247,0.843341091551369,0.6803008686931606,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,3,20260805,153657698-153657708-001,light_dysplastic,-0.0005886536691017963,-0.07970357734271682,-0.09021429775260459,-0.06919285693282884,0.29767287451886737,1546.0,562.0,0.027890159693853223,0.027301506024751426,0.8970752340706984,0.8173716567279816,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,4,20260805,149185698-149185721-004,carcinoma_in_situ,0.6127908070137693,-0.15332628956088956,-0.09381949975098602,-0.21283307937079304,0.27536189947507295,473.0,330.0,0.4759741447036625,1.0887649517174318,0.7621534939702591,0.6088272044093695,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,5,20260803,209565698-209565729-001,normal_intermediate,0.05086072324044409,-0.2014949253574907,-0.42698372449125405,0.02399387377627271,0.2752641489416556,3583.0,-2536.0,0.0030217363312213946,0.053882459571665486,0.8905778007131059,0.6890828753556152,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,6,20260803,149105131-149105205-002,moderate_dysplastic,0.0400203006028193,-0.0404585426722428,-0.07855456367920899,-0.002362521665276618,0.25865005019067017,489.0,-534.0,0.15492566855213213,0.19494596915495144,0.8693644479820951,0.8289059053098523,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,7,20260803,148884702-148884710-002,light_dysplastic,0.1704669461696283,-0.07423791419962311,-0.11433527167244151,-0.03414055672680483,0.2512011076775221,1958.0,5141.0,0.1193565875884817,0.28982353375811,0.7686745467439192,0.6944366325442961,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,8,20260804,149099502-149099544-001,moderate_dysplastic,0.2044691830071771,-0.076080954815549,-0.10321531375848514,-0.04894659587261285,0.2455736399595691,1333.0,1351.0,0.01771208184072398,0.22218126484790107,0.9233214243527607,0.8472404695372117,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,9,20260803,149061666-149061699-001,moderate_dysplastic,-0.19763989533011275,0.06704750309399221,-0.032937459516584444,0.16703246570456876,0.22001278360033094,243.0,-4404.0,0.22385697395204837,0.02621707862193562,0.8201923291533322,0.8872398322473244,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,10,20260804,149182550-149182608-005,carcinoma_in_situ,0.0007778889635960962,-0.07195575954025579,-0.07615082788885796,-0.06776069119165351,0.19029542742936445,-92.0,-75.0,0.031400934456683016,0.03217882342027911,0.8328820687848106,0.7609263092445548,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,11,20260805,153354589-153354597-001,light_dysplastic,-0.005041949937880819,-0.04289740386013108,-0.041995384059567153,-0.04379942366069489,0.19004737495263962,-161.0,262.0,0.1676636619441918,0.16262171200631098,0.8278381377007875,0.7849407338406564,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,12,20260804,149053423-149053447-001,light_dysplastic,0.23337508963161796,-0.08886445212403427,-0.07053866639186712,-0.1071902378562013,0.17418731353143357,846.0,2721.0,0.01042189929219317,0.24379698892381113,0.9221364327729702,0.8332719806489359,,,,,,,,,,,,,,,,,,,,,,,
top_circularity_worsened,13,20260805,148503900-148503914-001,light_dysplastic,-0.4339474921968616,-0.0590368822531927,-0.08873002339851266,-0.029343741107872634,0.1697561400429729,583.0,-765.0,0.6341311979661648,0.20018370576930322,0.742890807702957,0.6838539254497643,,,,,,,,,,,,,,,,,,,,,,,
