split,seed,model,degradation,severity,foreground_dice,nucleus_dice,cytoplasm_dice,mean_nc_absolute_error,median_nc_absolute_error,mean_circularity_absolute_error,invalid_nc_rate,invalid_circularity_rate
calibration,20260803,nc_aware_lambda_0p10,gaussian_noise,10,0.8325577734668008,0.8847061221775072,0.7804094247560948,0.2752023930170869,0.0972688978411071,0.11303627610474755,0.0,0.0
calibration,20260803,nc_aware_lambda_0p10,gaussian_noise,20,0.8263261564451652,0.878587781746229,0.7740645311441012,0.2578636640221697,0.10761642427567725,0.13917730479835785,0.0,0.0
calibration,20260803,nc_aware_lambda_0p10,gaussian_noise,30,0.8128952727920609,0.8620929691957321,0.7636975763883893,0.2724076429835219,0.09399445241303772,0.18688884237411071,0.0,0.0
calibration,20260804,baseline,clean,clean,0.8484880123868067,0.9010423471009823,0.795933677672631,0.2229983226750932,0.08641249013065944,0.11509053063741466,0.0,0.0
calibration,20260804,baseline,gaussian_blur,1,0.8484378157406598,0.9000947946831659,0.7967808367981538,0.22764279580307636,0.09016783649670024,0.11480963058081396,0.0,0.0
calibration,20260804,baseline,gaussian_blur,2,0.8459131214331859,0.8956550706234,0.7961711722429718,0.23528108959486702,0.09445351878357297,0.11432082205716991,0.0,0.0
calibration,20260804,baseline,gaussian_blur,3,0.8397085933803904,0.8874413332517423,0.7919758535090385,0.24677408622449248,0.09338567275119813,0.1141726574803378,0.0,0.0
calibration,20260804,baseline,gaussian_noise,10,0.8454897632995427,0.8973643502401112,0.7936151763589745,0.2277187666626159,0.08775712784344042,0.12351538681720946,0.0,0.0
calibration,20260804,baseline,gaussian_noise,20,0.8321586905543592,0.882366055022522,0.7819513260861968,0.2503228613983055,0.08931424738061688,0.16188448936147917,0.0,0.00546448087431694
calibration,20260804,baseline,gaussian_noise,30,0.7936950345785706,0.8377886758853571,0.7496013932717839,0.32076646982800705,0.09988858189363142,0.2301718397676679,0.0,0.00546448087431694
calibration,20260804,nc_aware_lambda_0p10,clean,clean,0.8292484260371984,0.885859223547469,0.7726376285269283,0.24648203520919248,0.10623276316073738,0.11582635161429657,0.0,0.0
calibration,20260804,nc_aware_lambda_0p10,gaussian_blur,1,0.8281519288048462,0.8845993039052313,0.7717045537044611,0.2462902127906244,0.10410131742085535,0.11614735849911684,0.0,0.0
calibration,20260804,nc_aware_lambda_0p10,gaussian_blur,2,0.8246927713263683,0.8804727366866834,0.7689128059660529,0.24666194459829796,0.09906519742448103,0.11932085667637042,0.0,0.0
calibration,20260804,nc_aware_lambda_0p10,gaussian_blur,3,0.819975446652056,0.8750385714821017,0.7649123218220102,0.2544668250782548,0.11171035137701807,0.11641529335852317,0.0,0.0
calibration,20260804,nc_aware_lambda_0p10,gaussian_noise,10,0.8285093553929229,0.8841764424233999,0.7728422683624461,0.23821298565487103,0.11293352059262779,0.11782284358850724,0.0,0.0
calibration,20260804,nc_aware_lambda_0p10,gaussian_noise,20,0.822243969118721,0.8764330665843977,0.7680548716530441,0.2429851208688025,0.10812215000182934,0.1464268850694744,0.0,0.0
calibration,20260804,nc_aware_lambda_0p10,gaussian_noise,30,0.7909916143927322,0.839258233098735,0.7427249956867295,0.30036494155061816,0.10798236584851023,0.22508104558644698,0.0,0.0
calibration,20260805,baseline,clean,clean,0.8454862108179034,0.903452047690825,0.7875203739449819,0.21653083009610558,0.06563147522908552,0.11376115155128141,0.0,0.0
calibration,20260805,baseline,gaussian_blur,1,0.8453879028733087,0.9021618829852627,0.7886139227613546,0.2188421171846856,0.07334447841789435,0.10877519500639968,0.0,0.0
calibration,20260805,baseline,gaussian_blur,2,0.8433048233532245,0.8977216059927263,0.7888880407137233,0.2250538057495948,0.073351141183012,0.11221421639643331,0.0,0.0
calibration,20260805,baseline,gaussian_blur,3,0.838788267276124,0.8907037929311534,0.786872741621095,0.237612398516188,0.07299850981628764,0.11324661817967784,0.0,0.0
calibration,20260805,baseline,gaussian_noise,10,0.8433530404086041,0.9022402518664466,0.7844658289507618,0.21310000118020758,0.0703453860771166,0.11516783800533298,0.0,0.0
calibration,20260805,baseline,gaussian_noise,20,0.8347726769364237,0.8952383411363863,0.7743070127364609,0.22553957899348068,0.08116634047811655,0.14767297952183941,0.0,0.0
