seed,model,degradation,severity,target,nominal_coverage,empirical_coverage,coverage_gap,conditional_coverage,failure_aware_coverage,interval_mean_width,interval_median_width,invalid_rate,failure_rate,calibration_sample_size,test_sample_size,frozen_quantile,calibration_source
20260803,nc_aware_lambda_0p10,gaussian_noise,10,nc,0.9,0.8369565217391305,-0.06304347826086953,0.8369565217391305,0.8369565217391305,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
20260803,nc_aware_lambda_0p10,gaussian_noise,20,nc,0.9,0.842391304347826,-0.05760869565217397,0.842391304347826,0.842391304347826,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
20260803,nc_aware_lambda_0p10,gaussian_noise,30,nc,0.9,0.842391304347826,-0.05760869565217397,0.842391304347826,0.842391304347826,1.2050940244433652,1.205094024443365,0.0,0.0,183,184,0.6025470122216825,clean
20260803,nc_aware_lambda_0p10,clean,clean,circularity,0.9,0.8351648351648352,-0.06483516483516483,0.8351648351648352,0.8260869565217391,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
20260803,nc_aware_lambda_0p10,gaussian_blur,1,circularity,0.9,0.8516483516483516,-0.0483516483516484,0.8516483516483516,0.842391304347826,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
20260803,nc_aware_lambda_0p10,gaussian_blur,2,circularity,0.9,0.8461538461538461,-0.05384615384615388,0.8461538461538461,0.8369565217391305,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
20260803,nc_aware_lambda_0p10,gaussian_blur,3,circularity,0.9,0.8571428571428571,-0.04285714285714293,0.8571428571428571,0.8478260869565217,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
20260803,nc_aware_lambda_0p10,gaussian_noise,10,circularity,0.9,0.8186813186813187,-0.08131868131868136,0.8186813186813187,0.8097826086956522,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
20260803,nc_aware_lambda_0p10,gaussian_noise,20,circularity,0.9,0.7802197802197802,-0.1197802197802198,0.7802197802197802,0.7717391304347826,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
20260803,nc_aware_lambda_0p10,gaussian_noise,30,circularity,0.9,0.6593406593406593,-0.2406593406593407,0.6593406593406593,0.6521739130434783,0.4769537242052721,0.47695372420527216,0.010869565217391304,0.010869565217391304,183,184,0.23847686210263608,clean
