sample_id,parent_source_id,diagnostic_class,model,seed_aggregation,n_seed_rows,nucleus_dice,cytoplasm_dice,foreground_dice,cell_dice,area_ae,perimeter_ae,circularity_ae,nc_ae,invalid_prediction,invalid_circularity,invalid_nc
Superficial-Intermediate__078_05,Superficial-Intermediate__078,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8583450210378681,0.9115852241412512,0.8849651225895596,0.9137433151562593,112.0,12.887302160263062,0.16744502376832238,0.0014421175805728447,0.0,0.0,0.0
Superficial-Intermediate__078_06,Superficial-Intermediate__078,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.5378450578806767,0.9113389480005618,0.7245920029406192,0.9172659285485006,518.0,9.112697720527649,0.09129125410234429,0.005050843919552286,0.0,0.0,0.0
Superficial-Intermediate__078_07,Superficial-Intermediate__078,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.4619246861924686,0.8939628431998841,0.6779437646961763,0.9136206048920018,2530.0,133.47308886051178,0.37249481750750907,0.034321271067894656,0.0,0.0,0.0
Superficial-Intermediate__079_01,Superficial-Intermediate__079,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.5451145395044413,0.8876593170487495,0.7163869282765953,0.8935042161994894,873.0,12.987807869911194,0.1573135844173037,0.009597520727301828,0.0,0.0,0.0
Superficial-Intermediate__079_02,Superficial-Intermediate__079,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.7118819570282164,0.9252415898957304,0.8002776767098001,0.9367480737169378,675.0,12.745167136192322,0.1896886627957548,0.005299008369854266,0.0,0.0,0.0
Superficial-Intermediate__079_03,Superficial-Intermediate__079,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6278240190249703,0.9236165074031293,0.7725152610693038,0.9326550387596899,1192.0,13.188818216323853,0.34362017896125596,0.021543119519335033,0.0,0.0,0.0
Superficial-Intermediate__080_01,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.5891614793116074,0.9616355236847549,0.7749012195707912,0.9779390266592244,2164.0,50.25988590717316,0.2089954084084743,0.031139220838925476,0.0,0.0,0.0
Superficial-Intermediate__080_02,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.9293361884368309,0.9552550843683507,0.9298715181095676,0.9567394765950723,38.0,5.573593974113464,0.12219734920077274,0.001956973999230876,0.0,0.0,0.0
Superficial-Intermediate__080_03,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.34749524413443245,0.900236225367289,0.6238657347508607,0.9123298842958357,2020.0,59.37258327007294,0.07903171283894594,0.02187465566838946,0.0,0.0,0.0
Superficial-Intermediate__080_04,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6338329764453962,0.8888803508406014,0.7613566636429987,0.8961876455250706,848.0,14.603031992912292,0.17425379170249344,0.010358130694599364,0.0,0.0,0.0
Superficial-Intermediate__080_05,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6254886630179828,0.8718668227516871,0.7588258601681934,0.8862539891511753,791.0,3.5391035079956055,0.1545499786260176,0.016446485839440313,0.0,0.0,0.0
Superficial-Intermediate__080_06,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6876918783142618,0.9398708985868203,0.809734494001106,0.9458531698262672,516.0,0.46089673042297363,0.13500059527497754,0.004201350307488886,0.0,0.0,0.0
Superficial-Intermediate__080_07,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.5877102643323034,0.9024213995413668,0.7408791902759939,0.9090609201942981,1107.0,28.50252616405487,0.18512396633340578,0.007956264124493186,0.0,0.0,0.0
Superficial-Intermediate__080_08,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.8845184064548663,0.936712491904884,0.8985527458775007,0.9377220823127609,205.0,24.30151605606079,0.12101448154951633,0.0033151719083409827,0.0,0.0,0.0
Superficial-Intermediate__080_09,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.411238424109245,0.880003307972213,0.645620866040729,0.9010773457163873,3633.0,44.502525806427,0.3534178427846687,0.03483333966050946,0.0,0.0,0.0
Superficial-Intermediate__080_10,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.34177215189873417,0.875727521417555,0.6198801094826195,0.8944120287253142,2527.0,128.54415595531464,0.45601171513915206,0.02925851721250291,0.0,0.0,0.0
Superficial-Intermediate__080_11,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.23613382899628252,0.8952691204356493,0.5657014747159659,0.9216883636620448,4655.0,104.05887532234192,0.22651525986166443,0.04868845568963343,0.0,0.0,0.0
Superficial-Intermediate__080_12,Superficial-Intermediate__080,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.28591623961830714,0.9438503265803166,0.615494251632775,0.9607696025739989,4012.0,170.20101046562195,0.34785216477769787,0.028026047463743303,0.0,0.0,0.0
Superficial-Intermediate__081_01,Superficial-Intermediate__081,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.38449612403100775,0.9030536486690052,0.6434537834617584,0.9082046344548881,788.0,25.330952525138855,0.2767452051041899,0.007396730119427843,0.0,0.0,0.0
Superficial-Intermediate__081_02,Superficial-Intermediate__081,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.4671240708976558,0.8895411385003976,0.6747301817443647,0.8952198701217821,1852.0,181.5147191286087,0.6129811597930395,0.02065896445315845,0.0,0.0,0.0
Superficial-Intermediate__081_03,Superficial-Intermediate__081,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.6176275679257787,0.9192975397431384,0.7747614425272273,0.9263377063513166,1148.0,38.987807869911194,0.17752252050412243,0.01035200644984092,0.0,0.0,0.0
Superficial-Intermediate__081_04,Superficial-Intermediate__081,Superficial-Intermediate,baseline,median_across_20260803_20260804_20260805,3,0.3333333333333333,0.931085234405437,0.627676355453289,0.9410546473279194,751.0,43.372583508491516,0.2480682948170816,0.01225638284095253,0.0,0.0,0.0
