accepted_edit_count,area_matching_error_abs,area_matching_error_norm,closing_area_ae,closing_benefit,closing_circularity_ae,closing_fallback_to_raw,closing_foreground_dice,closing_nc_ae,closing_nucleus_dice,closing_perimeter_ae,closing_specific_residual,diagnostic_class,fallback_to_raw,invalid_proposal_count,joint_matching_error,model,null_area_ae,null_benefit,null_circularity_ae,null_dA,null_dP,null_foreground_dice,null_nc_ae,null_nucleus_dice,null_perimeter_ae,parent_source_id,perimeter_matching_error_abs,perimeter_matching_error_norm,raw_area_ae,raw_circularity_ae,raw_foreground_dice,raw_nc_ae,raw_nucleus_dice,raw_perimeter_ae,sample_id,seed,sum_matching_error,target_dA,target_dP,valid_proposal_count
19,0.0,0.0,151,0.026024314978409846,0.01717562650575377,False,0.8261171111726018,0.10009520169793422,0.8814545454545455,12.384776711463928,0.0014556930625074793,Dyskeratotic,False,0,1.2176859454929306e-08,baseline,151,0.024568621915902367,0.01863131956826125,5.0,-2.928932785987854,0.8252727698431281,0.10009520169793422,0.88,12.384776830673218,Dyskeratotic__001,1.1920928955078125e-07,1.2176859454929306e-08,156,0.04319994148416362,0.8246974436755459,0.10119646475033832,0.8788321167883212,9.455844044685364,Dyskeratotic__001_04,20260804,1.2176859454929306e-08,5.0,-2.9289326667785645,2048
8,0.0,0.0,59,-0.016006240152945495,0.019491815244416233,False,0.8652733700575204,0.08089309912343251,0.9229720518064076,5.556349039077759,1.995913989638609e-09,Dyskeratotic,False,0,1.1866956930110158e-08,baseline,59,-0.016006242148859484,0.019491817240330223,2.0,-1.1715726852416992,0.8652733700575204,0.08089309912343251,0.9229720518064076,5.556349158287048,Dyskeratotic__001,1.1920928955078125e-07,1.1866956930110158e-08,61,0.0034855750914707384,0.8644432332987648,0.08134497348191405,0.9215017064846417,4.384776473045349,Dyskeratotic__001_04,20260805,1.1866956930110158e-08,2.0,-1.1715725660324097,2048
3,0.0,0.0,76,-0.013331460194732747,0.029364374917032143,False,0.7672125766953353,0.03683609807999225,0.8913793103448275,7.899494409561157,-2.2420002521172933e-09,Dyskeratotic,False,0,1.2694505260292791e-08,baseline,76,-0.013331457952732495,0.02936437267503189,1.0,-0.5857864618301392,0.7682300458162528,0.03683609807999225,0.8931034482758621,7.899494290351868,Dyskeratotic__001,1.1920928955078125e-07,1.2694505260292791e-08,77,0.016032914722299396,0.7677025424824019,0.03718457492070859,0.8921484037963762,7.3137078285217285,Dyskeratotic__001_05,20260803,1.2694505260292791e-08,1.0,-0.5857865810394287,2048
3,0.0,0.0,77,-0.011479182391454401,0.02904672199325886,False,0.8624698525408672,0.03873547194286436,0.9154607768469155,4.100505471229553,0.0012668022134004753,Dyskeratotic,False,0,0.0,baseline,77,-0.012745984604854876,0.030313524206659337,1.0,-0.5857864618301392,0.8624698525408672,0.03873547194286436,0.9154607768469155,4.100505471229553,Dyskeratotic__001,0.0,0.0,76,0.01756753960180446,0.8628988698004911,0.039003637230934335,0.9161585365853658,4.686291933059692,Dyskeratotic__001_05,20260804,0.0,1.0,-0.5857864618301392,2048
0,0.0,0.0,170,0.0,0.036298446852669475,False,0.8428335704125178,0.009475320637388263,0.8776671408250356,10.343146204948425,0.0,Dyskeratotic,False,0,0.0,baseline,170,0.0,0.036298446852669475,0.0,0.0,0.8428335704125178,0.009475320637388263,0.8776671408250356,10.343146204948425,Dyskeratotic__001,0.0,0.0,170,0.036298446852669475,0.8428335704125178,0.009475320637388263,0.8776671408250356,10.343146204948425,Dyskeratotic__001_05,20260805,0.0,0.0,0.0,2048
3,0.0,0.0,485,0.013971575334285946,0.1319722659454008,False,0.3847796925436423,0.0783718022117094,0.532304725168756,39.01219284534454,0.0,Dyskeratotic,False,0,0.0,baseline,485,0.013971575334285946,0.1319722659454008,1.0,-0.5857865810394287,0.3847796925436423,0.0783718022117094,0.532304725168756,39.01219284534454,Dyskeratotic__002,0.0,0.0,486,0.14594384127968674,0.38405670366914507,0.07869377271368586,0.5308880308880309,38.426406264305115,Dyskeratotic__002_01,20260803,0.0,1.0,-0.5857865810394287,2048
0,0.0,0.0,186,0.0,0.002236184752599457,False,0.6101144485223102,0.03773011952966798,0.8532934131736527,14.970562815666199,0.0,Dyskeratotic,False,0,0.0,baseline,186,0.0,0.002236184752599457,0.0,0.0,0.6101144485223102,0.03773011952966798,0.8532934131736527,14.970562815666199,Dyskeratotic__002,0.0,0.0,186,0.002236184752599457,0.6101144485223102,0.03773011952966798,0.8532934131736527,14.970562815666199,Dyskeratotic__002_01,20260804,0.0,0.0,0.0,2048
3,0.0,0.0,4,0.00832303125487821,0.07056980288437331,False,0.7068685439492162,0.003226779001597846,0.8152031454783748,5.514718174934387,0.0,Dyskeratotic,False,0,0.0,baseline,4,0.00832303125487821,0.07056980288437331,1.0,-0.5857864618301392,0.7083916320517664,0.003226779001597846,0.817824377457405,5.514718174934387,Dyskeratotic__002,0.0,0.0,3,0.07889283413925152,0.7072102588749927,0.002977743812563771,0.8157377049180328,6.100504636764526,Dyskeratotic__002_01,20260805,0.0,1.0,-0.5857864618301392,2048
0,0.0,0.0,720,0.0,0.41562589320273435,False,0.0397940330815231,0.06872541978728497,0.07216494845360824,79.35533833503723,0.0,Dyskeratotic,False,0,0.0,baseline,720,0.0,0.41562589320273435,0.0,0.0,0.0397940330815231,0.06872541978728497,0.07216494845360824,79.35533833503723,Dyskeratotic__002,0.0,0.0,720,0.41562589320273435,0.0397940330815231,0.06872541978728497,0.07216494845360824,79.35533833503723,Dyskeratotic__002_02,20260803,0.0,0.0,0.0,2048
1,0.0,0.0,164,-0.013869323732794925,0.03156386370590303,False,0.632956271991939,0.06310987694307857,0.8768768768768769,13.899494409561157,0.0,Dyskeratotic,False,0,0.0,baseline,164,-0.013869323732794925,0.03156386370590303,1.0,-0.5857862234115601,0.632956271991939,0.06310987694307857,0.8768768768768769,13.899494409561157,Dyskeratotic__002,0.0,0.0,165,0.017694539973108103,0.6324701439800933,0.06190275740951967,0.8760330578512396,13.313708186149597,Dyskeratotic__002_02,20260804,0.0,1.0,-0.5857862234115601,2048
8,0.0,0.0,13,-0.024331510490481212,0.025037476703908546,False,0.7788104006580068,0.0934437334430076,0.8631153068105192,9.313707947731018,-0.004357631185475497,Dyskeratotic,False,0,4.91339937367063e-08,baseline,13,-0.019973879305005715,0.02067984551843305,2.0,-1.1715734004974365,0.7767874741576697,0.0934437334430076,0.8590694538098449,9.313708424568176,Dyskeratotic__002,4.76837158203125e-07,4.91339937367063e-08,15,0.0007059662134273337,0.7778732383850966,0.0945964042097528,0.861580013504389,8.14213502407074,Dyskeratotic__002_02,20260805,4.91339937367063e-08,2.0,-1.1715729236602783,2048
0,0.0,0.0,628,nan,nan,True,0.16516966067864272,0.5308537616229924,0.0,nan,nan,Dyskeratotic,True,2048,0.0,baseline,628,nan,nan,0.0,nan,0.16516966067864272,0.5308537616229924,0.0,nan,Dyskeratotic__002,nan,nan,628,nan,0.16516966067864272,0.5308537616229924,0.0,nan,Dyskeratotic__002_03,20260803,nan,0.0,nan,0
0,0.0,0.0,52,0.0,0.04942330702350772,False,0.7910737490318078,0.2325627207115475,0.9019933554817275,6.828427195549011,0.0,Dyskeratotic,False,0,0.0,baseline,52,0.0,0.04942330702350772,0.0,0.0,0.7910737490318078,0.2325627207115475,0.9019933554817275,6.828427195549011,Dyskeratotic__002,0.0,0.0,52,0.04942330702350772,0.7910737490318078,0.2325627207115475,0.9019933554817275,6.828427195549011,Dyskeratotic__002_03,20260804,0.0,0.0,0.0,2048
0,0.0,0.0,210,0.0,0.013106883215240228,False,0.7272994650515262,0.32803959374332226,0.7992351816443595,17.656854033470154,0.0,Dyskeratotic,False,0,0.0,baseline,210,0.0,0.013106883215240228,0.0,0.0,0.7272994650515262,0.32803959374332226,0.7992351816443595,17.656854033470154,Dyskeratotic__002,0.0,0.0,210,0.013106883215240228,0.7272994650515262,0.32803959374332226,0.7992351816443595,17.656854033470154,Dyskeratotic__002_03,20260805,0.0,0.0,0.0,2048
0,0.0,0.0,828,0.0,0.29788394750867586,False,0.004784688995215311,0.11790471916954795,0.009569377990430622,103.74011433124542,0.0,Dyskeratotic,False,740,0.0,baseline,828,0.0,0.29788394750867586,0.0,0.0,0.004784688995215311,0.11790471916954795,0.009569377990430622,103.74011433124542,Dyskeratotic__002,0.0,0.0,828,0.29788394750867586,0.004784688995215311,0.11790471916954795,0.009569377990430622,103.74011433124542,Dyskeratotic__002_04,20260803,0.0,0.0,0.0,1308
11,0.0,0.0,429,0.02232568153155645,0.0035016426447520566,False,0.34874453792473753,0.22231157329548085,0.6526315789473685,27.455843567848206,-0.0019099922749680198,Dyskeratotic,False,0,1.3141704193357799e-08,baseline,429,0.02423567380652447,0.0015916503697840367,5.0,-1.1715730428695679,0.34874453792473753,0.22231157329548085,0.6526315789473685,27.455843687057495,Dyskeratotic__002,1.1920928955078125e-07,1.3141704193357799e-08,434,0.025827324176308508,0.34599209645347223,0.21662098548444586,0.6471544715447154,26.284270644187927,Dyskeratotic__002_04,20260804,1.3141704193357799e-08,5.0,-1.1715729236602783,2048
