sample_id,parent_source_id,diagnostic_class,model,seed_aggregation,n_seed_rows,raw_circularity_ae,closing_circularity_ae,null_circularity_ae,closing_benefit,null_benefit,closing_specific_residual,raw_nucleus_dice,closing_nucleus_dice,null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,null_foreground_dice,raw_area_ae,closing_area_ae,null_area_ae,raw_perimeter_ae,closing_perimeter_ae,null_perimeter_ae,raw_nc_ae,closing_nc_ae,null_nc_ae
Dyskeratotic__168_01,Dyskeratotic__168,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.03643890472100264,0.019265013650495155,0.016898653439262,0.0198909455491304,0.025156080768066635,0.0003506942673897617,0.7931034482758621,0.7963316774933129,0.7963316774933129,0.795054313644799,0.7969827401551072,0.7969827401551072,1080.0,1066.0,1066.0,28.426406264305115,31.35533881187439,31.35533857345581,0.15319020802883937,0.15135934058277467,0.15135934058277467
Dyskeratotic__168_02,Dyskeratotic__168,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.009437499311438224,0.008936943272726539,0.008936943272726539,0.0,0.0,0.0,0.817773339990015,0.8173652694610778,0.8173652694610778,0.7273072766718419,0.7269877194763016,0.7269877194763016,363.0,364.0,364.0,17.99999976158142,17.99999976158142,17.99999976158142,0.03244803753875675,0.03208129185603775,0.03208129185603775
Dyskeratotic__168_03,Dyskeratotic__168,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.050137457283132014,0.050137457283132014,0.050137457283132014,0.0,0.0,0.0,0.9339433800400343,0.9339433800400343,0.9339433800400343,0.8051442905500321,0.8051442905500321,0.8051442905500321,211.0,211.0,211.0,13.313708424568176,13.313708424568176,13.313708424568176,0.17636830993992847,0.17636830993992847,0.17636830993992847
Dyskeratotic__170_01,Dyskeratotic__170,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.2859952032819866,0.2766732481207632,0.2764268269289517,0.009321955161223361,0.009568376353034869,0.0006315979199890132,0.5938945420906568,0.5933456561922366,0.5933456561922366,0.4521688310349631,0.4512371434488154,0.45201515174757056,1043.0,1044.0,1044.0,72.62741672992706,72.04163026809692,72.04163038730621,0.5007299270072993,0.5103909006002416,0.5103909006002416
Dyskeratotic__170_02,Dyskeratotic__170,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.2289440124909763,0.2289440124909763,0.2289440124909763,0.0,0.0,0.0,0.22063037249283668,0.22444603288062903,0.22444603288062903,0.27628865556696247,0.2782008272273846,0.2782008272273846,1088.0,1085.0,1085.0,91.15432786941528,91.15432786941528,91.15432786941528,0.3519020803789016,0.35025138953710383,0.35025138953710383
Dyskeratotic__171_01,Dyskeratotic__171,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.022336925306398414,0.03036901399677494,0.03166242227645655,-0.007925548224461676,-0.007925552506602984,4.282141308209475e-09,0.8525790349417637,0.852960745176314,0.852960745176314,0.7540215973768748,0.7542509684278562,0.7542509684278562,277.0,276.0,276.0,15.355338454246521,15.941124677658081,15.94112503528595,0.1694735731626777,0.16921020720275548,0.16921020720275548
Dyskeratotic__171_02,Dyskeratotic__171,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.06486739432475308,0.09608753658121305,0.09660536473685388,-0.024893635147070214,-0.02538797994422204,0.0004943447971518244,0.9222922292229223,0.9229847168115073,0.9217860353611028,0.7109220884265259,0.7109220884265259,0.7109220884265259,125.0,125.0,125.0,16.14213526248932,19.071067571640015,19.07106864452362,0.7654059283229779,0.7639550853954722,0.7639550853954722
Dyskeratotic__172_01,Dyskeratotic__172,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.17568835945505723,0.15614424669483828,0.15614424554194062,0.019544112760218946,0.019544113913116612,0.0006221001915361901,0.7862119545287862,0.7875457875457875,0.7868131868131868,0.6909802860305558,0.6907518287614094,0.6908740482676425,559.0,556.0,556.0,14.242641568183899,16.000001072883606,16.000001192092896,0.21756770780407533,0.21694540416419072,0.21694540416419072
Dyskeratotic__173_01,Dyskeratotic__173,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.01726477758511402,0.025163520398143957,0.025813423704593053,-0.004138891462001859,-0.004817064074853383,0.0006499033064490956,0.7966499162479062,0.796786072982926,0.7974556411114831,0.7168534462352137,0.7168808085354388,0.7173277756825085,475.0,473.0,473.0,23.899494409561157,25.07106649875641,25.071067214012146,0.22938170266493338,0.22890734851073208,0.22890734851073208
Dyskeratotic__173_02,Dyskeratotic__173,Dyskeratotic,baseline,median_across_20260803_20260804_20260805,3,0.09959871991684188,0.1115906409241203,0.1115906409241203,-0.013110497092636675,-0.015280127536446808,9.181391646961856e-09,0.9146005509641874,0.9140409911287856,0.9140409911287856,0.7607001840047343,0.7602079288418062,0.7602079288418062,143.0,141.0,141.0,19.01219391822815,20.1837660074234,20.42640745639801,0.4669476708697396,0.46602868882409854,0.46602868882409854
